LocationID	LocationName	StartDate	EndDate	SPA
1014306	Polder RAMSKAPELLE-MANNEKENSVERE	NA	NA	0
1014401	Polder OOSTKERKE-OUDEKAPELLE	NA	NA	0
1014402	Komgrondengebied LAMPERNISSE	NA	NA	0
1014403	Polder SINT-JACOBSKAPELLE	NA	NA	0
1014501	Polder BOOITSHOEKE	NA	NA	0
1014601	Polder WULPEN	NA	NA	0
1020101	Spuikom OOSTENDE	NA	NA	0
1020102	Kalkaert OOSTENDE	NA	NA	0
1020103	Weiden Vliegveld OOSTENDE	NA	NA	0
1020104	Zoute Kreek en Sluiskreek OOSTENDE	NA	NA	0
1020105	Grote Keignaert OOSTENDE	NA	NA	0
1020106	Maria Hendrika-park OOSTENDE	NA	NA	0
1020107	Zwaanhoek OUDENBURG	NA	NA	0
1020110	Opgespoten terreinen/gipsstort UCB OOSTENDE	NA	NA	0
1020115	Oud Zwaaidok OOSTENDE	NA	NA	0
1020117	Vuurtorendok OOSTENDE	NA	NA	0
1020119	Visserijdok OOSTENDE	NA	NA	0
1020125	Noord-Ede-Kreek OOSTENDE	NA	NA	0
1020127	Havengeul OOSTENDE	NA	NA	0
1020128	Kanaal Oostende-Plassendalebrug	NA	NA	0
1020129	Gouweloze Kreek OOSTENDE	NA	NA	0
1020130	Kleine Keignaert OOSTENDE	NA	NA	0
1020133	Leopoldspark OOSTENDE	NA	NA	0
1020135	Kanaal Plassendalebrug - Stalhillebrug	NA	NA	0
1020136	Saspolder (Esso-putten) OOSTENDE	NA	NA	0
1020137	Havengeul/dokken OOSTENDE	NA	NA	0
1020138	Steenbakkerij Keignaert  & Geuzenbos OOSTENDE	NA	NA	0
1020139	Oude Straatkreek	NA	NA	0
1020201	Zwaaidok OOSTENDE	NA	NA	0
1020202	t Pomptje OUDENBURG	NA	NA	1
1020205	Kanaal Plassendale - Nieuwpoort	NA	NA	0
1020206	Vaartzone Rattevallebrug - Kalsijdebrug MIDDELKERKE	NA	NA	0
1020207	Weiden OUDENBURG	NA	NA	0
1020208	Schorreweide OUDENBURG	NA	NA	0
1020302	Kleiputten Snaaskerke GISTEL	NA	NA	0
1020303	Polder SNAASKERKE	NA	NA	0
1020304	Zandwinningsputten SNAASKERKE	NA	NA	0
1020402	Strand WESTENDE-OOSTENDE	NA	NA	0
1020602	Autostradeputten GISTEL	NA	NA	0
1020701	Viconjeweiden BREDENE	NA	NA	0
1020703	Weiden BREDENE	NA	NA	0
1020704	Noord Ede Spaarbekken BREDENE	NA	NA	0
1020705	Paelsteenpanne BREDENE	NA	NA	0
1020706	D'Heye BREDENE	NA	NA	0
1020902	Puidebroeken MIDDELKERKE	NA	NA	0
1020903	Rattevalle	NA	NA	0
1021304	Klemskerke Zuid KLEMSKERKE	NA	NA	0
1021602	Strand OOSTENDE-DE HAAN	NA	NA	0
1021702	Polder ZANDE	NA	NA	0
1021901	Schapeweide MIDDELKERKE	NA	NA	0
1021902	Weiden MIDDELKERKE	NA	NA	0
1021903	Crocodille MIDDELKERKE	NA	NA	0
1021904	Schuddebeurze MIDDELKERKE	NA	NA	0
1022401	Polder WILSKERKE-LEFFINGE	NA	NA	0
1022501	Polder West SLIJPE	NA	NA	0
1022502	Polder Oost SLIJPE	NA	NA	0
1022503	Polder Noord SLIJPE	NA	NA	0
1022504	Polder Snipgate LEFFINGE	NA	NA	0
1022601	Weidecomplex STENE	NA	NA	0
1030101	Hoge Dijken ROKSEM	NA	NA	0
1030203	Laguna Beach KNOKKE-HEIST	NA	NA	0
1030204	Het Zwin KNOKKE-HEIST	NA	NA	1
1030206	Zegemeer KNOKKE-HEIST	NA	NA	0
1030208	Dievegat (+ Zilte Weiden) KNOKKE - HEIST DIEVEGAT	NA	NA	1
1030210	Zwinweiden + Kleyne Vlakte KNOKKE-HEIST WEIDEN ZWIN	NA	NA	1
1030212	Kleiputten HEIST	NA	NA	0
1030215	Zwinpark KNOKKE-HEIST	NA	NA	1
1030219	Nieuwe Vrede KNOKKE-HEIST	NA	NA	1
1030221	Zwinpolders KNOKKE-HEIST	NA	NA	1
1030222	Oude Vrede KNOKKE-HEIST	NA	NA	1
1030223	Greveningedijk (+ kreek) KNOKKE-HEIST	NA	NA	1
1030224	Kreek Da Costa KNOKKE-HEIST	NA	NA	1
1030225	Vaartzone HEIST	NA	NA	0
1030226	Strand KNOKKE-HEIST (exclusief Baai van Heist)	NA	NA	0
1030305	Legerputje ZEEBRUGGE	NA	NA	0
1030309	Achterhaven ZEEBRUGGE	NA	NA	1
1030319	Westdam ZEEBRUGGE	NA	NA	1
1030320	Oostdam ZEEBRUGGE	NA	NA	1
1030321	Baai van Heist KNOKKE-HEIST	NA	NA	1
1030322	Strand BLANKENBERGE-ZEEBRUGGE	NA	NA	0
1030323	Smientenweiden (Oudemaerspolder) ZEEBRUGGE	NA	NA	0
1030401	Plas St.Pieters BRUGGE	NA	NA	0
1030402	Plas AZ ST.Jan BRUGGE (St.Pieters)	NA	NA	0
1030403	Speien ST-PIETERS-MEETKERKE	NA	NA	0
1030501	Blauwe Toren BRUGGE	NA	NA	0
1030503	Ter Doest LISSEWEGE	NA	NA	0
1030505	Eendenkooi LISSEWEGE	NA	NA	0
1030506	Polder LISSEWEGE	NA	NA	0
1030507	Monnikenswerve LISSEWEGE	NA	NA	0
1030508	Weiden Blauwe Toren BRUGGE	NA	NA	0
1030601	Fonteintjes BLANKENBERGE	NA	NA	1
1030602	Haven / Spuikom BLANKENBERGE	NA	NA	0
1030701	Uitkerkse Polder UITKERKE	NA	NA	1
1030803	Poldercomplex DUDZELE	NA	NA	1
1030901	Put Zevekerke LOPPEM	NA	NA	0
1030902	Lac van Loppem LOPPEM	NA	NA	0
1031001	Vijverhof (Boudewijnpark) ST.-MICHIELS (Brugge)	NA	NA	0
1031002	Put Novotel ST-MICHIELS	NA	NA	0
1031003	Spoorwegvijver ST.-MICHIELS	NA	NA	0
1031101	Fribona OOSTKAMP	NA	NA	0
1031102	Put Erkegem OOSTKAMP	NA	NA	0
1031103	Spoorwegput OOSTKAMP	NA	NA	0
1031105	Rivierbeek OOSTKAMP	NA	NA	0
1031111	Warandeputten OOSTKAMP	NA	NA	0
1031112	Lijsterbeekvijver OOSTKAMP	NA	NA	0
1031201	Expresswegput ST.-ANDRIES (Brugge)	NA	NA	0
1031202	Koude Keuken ST.-ANDRIES (Brugge)	NA	NA	0
1031203	Duvelsgat ST.-ANDRIES (Brugge)	NA	NA	0
1031207	Bloemendaele SINT-ANDRIES	NA	NA	0
1031208	Buffelbrug, BRUGGE	NA	NA	0
1031303	Afleidingskanalen Heist-Zelzatebruggen ZEEBRUGGE	NA	NA	0
1031310	Afleidingskanalen Syphons - Moerkerke	NA	NA	0
1031311	Afleidingskanalen Zelzatebrug - Broekebrug	NA	NA	0
1031312	Afleidingskanalen Broekebrug - Syphons	NA	NA	0
1031401	Kleiputten St.Donaas HOEKE	NA	NA	1
1031402	Kleiputten Steenbakkerij HOEKE	NA	NA	1
1031403	Zwarte Sluispolder HOEKE	NA	NA	1
1031601	Zandbergput OEDELEM	NA	NA	0
1031701	Put VLISSEGEM	NA	NA	0
1031703	Poldercomplex VLISSEGEM	NA	NA	1
