SpeciesGroupID	ImportAnalysis
0040d15f2df442312fcb19f03d85758e5e58a54e	84bca5ad28494acda23df1034925d7afcdead36f
00cc8873fee4086c69aa5a7298163064bf134e27	29c8b033ab06b50613302a94eb3c6ec4a7786c45
04ff442ab3c00686c7e773bdcb95849c7346bd7d	9f2f2d36b7d3378ef7a4570c58295ab3ab94546b
08f794a9414f53a8ec83a3f919eee1cabefbadd3	3003a086e6151119581d8abdb3b0b0fa7b8e09d9
095fefef3d8a7f784c3d56df8333afad076ad5cf	f0b0ccc4bc3b8b3f6bd43c2925e4cbe9f49bdee0
0d4dc6c83f6f224eceee1e59c812492f0025b60a	480992ad404234b37f9b8a3179684c64caf94391
1332aca8d4f1947db709df25589e353e33d92530	304a47c695777b48cfc3af06980c728393c0e2c5
1b0b4351c88215b92a9cba26a0cd29478c199a4c	2cfa6f4cbb99a541979a822edf0c5486c06cdb0f
1eb81c82b4a3b70ba6d34e593fd53cf3c27781a2	ef2fbe3abc9698dc877930c696a6f1a544c52982
227d182c9775bd742673fe918f321170789748d5	2cef8e6f4acb9582d866571544db8b4726004290
2587c3f4a514e43c4cd15432fa5fbf652f9d4b80	395c795bb6c183e102bd4943a71c6b480bc20480
286a8d938922c0f854d5a625d469fd3d6542b5c6	f7752c1d7dd6a0b9399dfccbc13449c653c26a22
30d17869d4b9c93ec00cd71a10f9d993d81f313d	be5a66c60cc3154a500e83b1abb1779c48300f62
31892ff3c650021d8e82ca221276976fd46ebfb7	ed5c8f30c8224196bcc6ad9d28806a9058c52493
4567080acebd6b601d9678f91fcb2f8fa443c971	265035dd78bd28a628971f01e6cad0c9b0fe6827
5537d7a7539b83c67a9dbdd3048302f6862aa25d	128c4622924edf85fc4c12cd61ac0789ab966ecb
5d336284c92a8c0b1b3fb8ede6083a169310e983	7001a9888844e87bcf24cfa27eaf21af9da0126e
5e3a44fe1ce5c7da9c461d0ffd5871b05513548c	d7f4b65ae9ab43911a00c061a0b655285ac30181
629b9ee3a90e39ee9f56437d06d341df0f3d6826	2e4023da6b7210a33520f12786b2e7a636673936
7a2fe535fbca1f9f69370f960bf402b46f591db0	26a48e1778ad0d020be3c350c11be8b4c85f6d6b
8169ac52529aee4af289e97dfa7819ab12d8781b	fcb5cbf662e035bb5fea3059b9d4b32ae012a761
82078620407290d979d36d2fa8c721c45a5b61ec	564a06f321285e0ddfc3e158a0e35dc88112579f
854a5819e4053c8bf834c60e8cae4202f21294af	2eb25b3d68b8c8b0bc54d56729a0f811d8e52de8
924de6453ffef3e0b23acee82192bf9a6ff3d9e5	213290932f62ca3f4099e8e7397c04056833b701
9263a29aa77d47f244945277000168130dde3392	b35ce575fbb8ab7b7d901e3d1853da6701077d37
953869de74112c55cdd09dfaaeaeb85ffd2a1978	43621fcd186e69e17300e3c133f312a515cedc77
995c1f118acce735183be827893d29af44f40257	b6c0045e8c429a918aeebed5d04381e750537cf9
9e55d51d0bef1b0b453517f39a8554b12f16fa40	1f4ed2de00ca5a1bd37573ad631670a6f47c05ce
a28e5f9eed9c0640ee585e92f76e88117eb393a7	716f7ddbd6e4e18388954ee9cd966063a64683fd
a71d6a4a4ea210c55e140248f00ff2dc11456945	8cb117ddd05f1062926003cfc4ad46a704a3a5d6
baf4734701ea73fb1d055dfaca21649c512f2eec	004bc4311e8018e78de3db3acb35e63bd53e4f37
be96133c7aa1fe6f890251966cd745be0b59cd84	ad05aa51e531e2e9b68f5acf453b84bfe0858122
ca2f6a93822852e6668fc16e9e9391b6ce07254e	f87d3f2f7b890c2dfc1a05159a962bfa9e49e2f2
d4bf087b90e89227bba55c6a3ecbec92b3ffcd02	767ee89eb390a20bcf6b1a14d2e5165471b13fd3
eb55f99d00df512f3e775d63cca763784ce8e770	b96d8b1f5d64fa6cbe2510d5f94b914eabd72148
ec05c7469443c10332381ae521df66f929e1e084	bc0e50fe8e941b5769354a25a246cf34a6615cdf
f040e790532216a7c2c8612015ffd2d064f256bb	fc78ec4069b8486d87b3f23f96cc07c821642721
f5612258c1f34c083bd3bb58118d4f87c3d7d083	7edfd36e1159b73fec85a32d1e017a3921752002
f568ebc9797e825d61df580004fa94c95e190764	c91bda4d3e81bbed097dbe3706e8366cff00773d
fa6e94ac70361108c45ba59aa3ecbe1ade4fdf2f	5104de9a2fdeacefe4f778bf2021efc2ef15065a
feae0cd2a2773855cf26828a22dda72cd3a0c955	952334c77a358d7eb8f0d20f7e2370d7ec208ba6
ff08ac5cb2e0b5da2f8a94d5bd40d0f432b982a2	d8fa7d57da7fc37f2afae4c9ad668c33342e5fb1
ff0d17adc2be8806726723d6510c817316f39502	386e937ae94da92e0fd0754c74431ce8c62df128
