Year	Stratum	Weight
2007	Bos	0.158707952787343
2007	Moeras en water	0.286741403403703
2007	Suburbaan	0.554550643808953
2008	Bos	0.141168324290584
2008	Heide en duin	0.0838030789511451
2008	Landbouw	0.680896971181568
2008	Moeras en water	0.0941316255767028
2009	Bos	0.416420474063896
2009	Moeras en water	0.583579525936104
2010	Bos	0.147672754818618
2010	Moeras en water	0.294040905647673
2010	Suburbaan	0.558286339533709
2011	Bos	0.121182363688725
2011	Heide en duin	0.0903871453300463
2011	Landbouw	0.708919074193128
2011	Moeras en water	0.0795114167881005
2012	Bos	1
2013	Bos	0.229854187682593
2013	Moeras en water	0.256658500478181
2013	Suburbaan	0.513487311839226
2014	Bos	0.421511627906977
2014	Heide en duin	0.578488372093023
