Year	Stratum	Weight
2007	Bos	0.0247638098024248
2007	Heide en duin	0.0204223260609436
2007	Landbouw	0.878973688313598
2007	Moeras en water	0.022370679766389
2007	Suburbaan	0.0178147243551264
2007	Urbaan	0.0356547717015182
2008	Bos	0.0180424194918581
2008	Heide en duin	0.0153009871902334
2008	Landbouw	0.895103747297152
2008	Moeras en water	0.0240615206653504
2008	Suburbaan	0.0177443609124036
2008	Urbaan	0.0297469644430026
2009	Bos	0.0192614554772862
2009	Heide en duin	0.0206938207661753
2009	Landbouw	0.89186074620959
2009	Moeras en water	0.0202450259227936
2009	Suburbaan	0.0209017988643279
2009	Urbaan	0.0270371527598271
2010	Bos	0.0282286310567125
2010	Heide en duin	0.0253925733099013
2010	Landbouw	0.887744534841302
2010	Moeras en water	0.0214125250925647
2010	Suburbaan	0.0177866922959223
2010	Urbaan	0.0194350434035973
2011	Bos	0.0181731854152319
2011	Heide en duin	0.0180732828467324
2011	Landbouw	0.893033161388988
2011	Moeras en water	0.0270276812465358
2011	Suburbaan	0.0199934880594505
2011	Urbaan	0.0236992010430611
2012	Bos	0.0267263438612956
2012	Heide en duin	0.0156918087505744
2012	Landbouw	0.907579244726325
2012	Moeras en water	0.0153041133082445
2012	Suburbaan	0.0172719077762894
2012	Urbaan	0.0174265815772711
2013	Bos	0.0285204656588075
2013	Heide en duin	0.0296846541133562
2013	Landbouw	0.876874409087156
2013	Moeras en water	0.0224797858034311
2013	Suburbaan	0.018739370216032
2013	Urbaan	0.0237013151212169
2014	Bos	0.0211499869834256
2014	Heide en duin	0.0158326548327337
2014	Landbouw	0.898838840756897
2014	Moeras en water	0.0238434610310798
2014	Suburbaan	0.0177686411020629
2014	Urbaan	0.0225664152938004
