Year	Stratum	Weight
2007	Bos	0.0518539498799335
2007	Landbouw	0.948146050120066
2008	Bos	0.0958620553814347
2008	Landbouw	0.462371310904711
2008	Moeras en water	0.06392121709686
2008	Suburbaan	0.131989796211359
2008	Urbaan	0.245855620405636
2009	Bos	0.0870801787193337
2009	Landbouw	0.912919821280666
2010	Landbouw	1
2011	Bos	0.0805374541330294
2011	Landbouw	0.47114559977155
2011	Moeras en water	0.0528430613803881
2011	Suburbaan	0.132906636130861
2011	Urbaan	0.262567248584171
2012	Bos	1
2013	Landbouw	1
2014	Bos	0.122830535788138
2014	Landbouw	0.495008627943127
2014	Suburbaan	0.141890446513883
2014	Urbaan	0.240270389754852
