Year	Stratum	Weight
2007	Bos	0.00969803565157018
2007	Heide en duin	0.0194232725250636
2007	Landbouw	0.797975737279985
2007	Moeras en water	0.105130019163557
2007	Suburbaan	0.0677729353798244
2008	Bos	0.00624132775775027
2008	Heide en duin	0.00741019609705186
2008	Landbouw	0.903113610172759
2008	Moeras en water	0.0832348659724392
2009	Bos	0.0142925436919889
2009	Landbouw	0.899029833757542
2009	Moeras en water	0.0600895229102888
2009	Suburbaan	0.0265880996401799
2010	Bos	0.00548222508814778
2010	Heide en duin	0.0218021561205376
2010	Landbouw	0.854851685227634
2010	Moeras en water	0.0764121250601938
2010	Suburbaan	0.0414518085034873
2011	Bos	0.00687533140270017
2011	Landbouw	0.884857955704205
2011	Moeras en water	0.108266712893095
2012	Bos	0.0125748415546635
2012	Landbouw	0.915041401523226
2012	Moeras en water	0.0480042714869775
2012	Suburbaan	0.0243794854351326
2013	Bos	0.00796363518030775
2013	Heide en duin	0.026420250484911
2013	Landbouw	0.858902495123254
2013	Moeras en water	0.0889230987845022
2013	Suburbaan	0.0177905204270255
2014	Bos	0.00886002183887886
2014	Landbouw	0.928356030302859
2014	Moeras en water	0.0627839478582623
