Cycle	Stratum	Weight
0	Bos	0.0399017036857485
0	Heide en duin	0.0242716753991984
0	Landbouw	0.841889869216602
0	Moeras en water	0.01690884922982
0	Suburbaan	0.0258610873245541
0	Urbaan	0.0511668151440766
1	Bos	0.0437277266416084
1	Heide en duin	0.0246095225686064
1	Landbouw	0.839207273809412
1	Moeras en water	0.0157744790630317
1	Suburbaan	0.0272579927750976
1	Urbaan	0.0494230051422444
2	Bos	0.0400384332651287
2	Heide en duin	0.0269002173098532
2	Landbouw	0.831251133311121
2	Moeras en water	0.0193320019201464
2	Suburbaan	0.025950792520784
2	Urbaan	0.0565274216729665
