Cycle	Stratum	Weight
0	Bos	0.00688024773529669
0	Heide en duin	0.00596580709210316
0	Landbouw	0.965101364384419
0	Moeras en water	0.00871473529651725
0	Suburbaan	0.00568551228652915
0	Urbaan	0.00765233320513445
1	Bos	0.0068351593608923
1	Heide en duin	0.00640119955548611
1	Landbouw	0.963566735461503
1	Moeras en water	0.00927934201609351
1	Suburbaan	0.00623564759378309
1	Urbaan	0.00768191601224166
2	Bos	0.00993397225853785
2	Heide en duin	0.00682132812761907
2	Landbouw	0.959682465304962
2	Moeras en water	0.0102712515124097
2	Suburbaan	0.00809287984128627
2	Urbaan	0.00519810295518542
