Year	Stratum	Weight
2007	Bos	0.0340647159545968
2007	Heide en duin	0.0204674931681001
2007	Landbouw	0.87201951515436
2007	Moeras en water	0.0615455261555648
2007	Suburbaan	0.0119027495673785
2008	Bos	0.0265242423563728
2008	Heide en duin	0.0157458352465453
2008	Landbouw	0.895540374362955
2008	Moeras en water	0.0530594252515826
2008	Suburbaan	0.00913012278254455
2009	Bos	0.0519020492171039
2009	Landbouw	0.870598295818315
2009	Moeras en water	0.0581892104999282
2009	Suburbaan	0.0193104444646529
2010	Bos	0.0319655366149553
2010	Heide en duin	0.0254246262621616
2010	Landbouw	0.879606119728653
2010	Moeras en water	0.0509189408557864
2010	Suburbaan	0.0120847765384439
2011	Bos	0.0338937125058492
2011	Heide en duin	0.0202244341489175
2011	Landbouw	0.872426924682447
2011	Moeras en water	0.0622683338948456
2011	Suburbaan	0.0111865947679404
2012	Bos	0.0612856899949137
2012	Landbouw	0.89192286713889
2012	Moeras en water	0.0467914428661967
2013	Bos	0.029958655202322
2013	Heide en duin	0.0248477974164884
2013	Landbouw	0.869920398490682
2013	Moeras en water	0.0585414662080483
2013	Suburbaan	0.0167316826824595
2014	Bos	0.0315546667978646
2014	Heide en duin	0.0433060599501728
2014	Landbouw	0.847771401282773
2014	Moeras en water	0.0652175117654141
2014	Suburbaan	0.0121503602037754
