Cycle	Stratum	Weight
0	Bos	0.0621474326770114
0	Heide en duin	0.0493088560843465
0	Landbouw	0.868706196787674
0	Moeras en water	0.00810330982303623
0	Suburbaan	0.00604184797263835
0	Urbaan	0.00569235665529334
1	Bos	0.0603115390250197
1	Heide en duin	0.0497409511902316
1	Landbouw	0.870039787323524
1	Moeras en water	0.00763023815230379
1	Suburbaan	0.00659245150336515
1	Urbaan	0.00568503280555535
2	Bos	0.0648543850682477
2	Heide en duin	0.0499864107326953
2	Landbouw	0.861191955821769
2	Moeras en water	0.00585412386077589
2	Suburbaan	0.00922511164759736
2	Urbaan	0.00888801286891521
