Cycle	Stratum	Weight
0	Bos	0.045358859476687
0	Heide en duin	0.026600202707081
0	Landbouw	0.827623697435753
0	Moeras en water	0.0166113932431297
0	Suburbaan	0.026074728729887
0	Urbaan	0.0577311184074623
1	Bos	0.0498822905368689
1	Heide en duin	0.0273284484390115
1	Landbouw	0.823765882539003
1	Moeras en water	0.0154877426257012
1	Suburbaan	0.0288753481446852
1	Urbaan	0.0546602877147299
2	Bos	0.0453620152109617
2	Heide en duin	0.0280847907526126
2	Landbouw	0.823868748023909
2	Moeras en water	0.0183251573752993
2	Suburbaan	0.0244346864172607
2	Urbaan	0.0599246022199568
