Year	Stratum	Weight
2007	Bos	0.532984517639558
2007	Heide en duin	0.467015482360442
2008	Bos	0.409908097840466
2008	Heide en duin	0.194670076923649
2008	Landbouw	0.395421825235886
2009	Bos	0.392605720474573
2009	Heide en duin	0.607394279525427
2010	Bos	0.56392597366725
2010	Heide en duin	0.43607402633275
2011	Bos	0.380010673099569
2011	Heide en duin	0.12597388630154
2011	Landbouw	0.494015440598892
2012	Bos	0.803447083806608
2012	Heide en duin	0.196552916193392
2013	Bos	0.693313838615348
2013	Heide en duin	0.306686161384652
2014	Bos	0.270181673884163
2014	Heide en duin	0.185400527941202
2014	Landbouw	0.544417798174635
