Cycle	Stratum	Weight
0	Bos	0.0514480152062484
0	Heide en duin	0.0263695596705685
0	Landbouw	0.807345535452125
0	Moeras en water	0.0193867816629148
0	Suburbaan	0.0297599495946108
0	Urbaan	0.0656901584135328
1	Bos	0.0567255838628846
1	Heide en duin	0.0272261082084262
1	Landbouw	0.798715894322669
1	Moeras en water	0.0187177250941385
1	Suburbaan	0.0332679750453151
1	Urbaan	0.0653467134665669
2	Bos	0.0501820986456006
2	Heide en duin	0.028115763634832
2	Landbouw	0.800048565245384
2	Moeras en water	0.0219517211906219
2	Suburbaan	0.0302681832840276
2	Urbaan	0.0694336679995338
