Year	Stratum	Weight
2007	Bos	0.102470072150591
2007	Heide en duin	0.0513068885429805
2007	Landbouw	0.624552834708923
2007	Moeras en water	0.0462837743466915
2007	Suburbaan	0.0447558262552861
2007	Urbaan	0.130630603995528
2008	Bos	0.107479168708033
2008	Heide en duin	0.031901934467616
2008	Landbouw	0.648005145684919
2008	Moeras en water	0.0537506674228902
2008	Suburbaan	0.055494403592327
2008	Urbaan	0.103368680124215
2009	Bos	0.104866958522653
2009	Heide en duin	0.13519838393443
2009	Landbouw	0.412271453909059
2009	Moeras en water	0.0734812692370415
2009	Suburbaan	0.0975408297588674
2009	Urbaan	0.176641104637949
2010	Bos	0.123618802001324
2010	Heide en duin	0.0573553458109985
2010	Landbouw	0.604739374651061
2010	Moeras en water	0.0328194003831387
2010	Suburbaan	0.0623131766827992
2010	Urbaan	0.119153900470678
2011	Bos	0.07675210525208
2011	Heide en duin	0.032712934129715
2011	Landbouw	0.705573375007236
2011	Moeras en water	0.0503593794039031
2011	Suburbaan	0.0452356707590549
2011	Urbaan	0.0893665354480108
2012	Bos	0.159920859323576
2012	Heide en duin	0.0469470787466591
2012	Landbouw	0.43638981437297
2012	Moeras en water	0.0763119391408216
2012	Suburbaan	0.124018684249969
2012	Urbaan	0.156411624166005
2013	Bos	0.127327380420327
2013	Heide en duin	0.0586698370524698
2013	Landbouw	0.528178798251841
2013	Moeras en water	0.071087794523073
2013	Suburbaan	0.0948151738496196
2013	Urbaan	0.11992101590267
2014	Bos	0.0860109454923412
2014	Heide en duin	0.0505896891220962
2014	Landbouw	0.693250417627286
2014	Moeras en water	0.0653026451921531
2014	Suburbaan	0.0567756980097227
2014	Urbaan	0.0480706045564003
