ObservationID	SubLocationID	Count
146051	8759	0
146051	8760	0
146051	8761	0
146051	8762	0
146051	8763	0
146051	8764	0
146052	8759	0
146052	8760	0
146052	8761	0
146052	8762	0
146052	8763	0
146052	8764	0
146053	8759	0
146053	8760	2
146053	8761	0
146053	8762	0
146053	8763	0
146053	8764	0
146073	9980	0
146073	9981	0
146073	9982	0
146073	9983	0
146073	9984	0
146073	9985	0
146080	8681	0
146080	8682	0
146080	8683	0
146080	8684	0
146080	8685	0
146080	8686	0
146081	8681	0
146081	8682	0
146081	8683	0
146081	8684	0
146081	8685	0
146081	8686	0
146082	8681	0
146082	8682	0
146082	8683	0
146082	8684	1
146082	8685	0
146082	8686	0
146204	9112	0
146204	9113	0
146204	9114	0
146204	9115	0
146204	9116	0
146204	9117	0
146265	9112	0
146265	9113	0
146265	9114	1
146265	9115	0
146265	9116	0
146265	9117	0
146271	9112	0
146271	9113	0
146271	9114	0
146271	9115	0
146271	9116	0
146271	9117	0
146277	8842	0
146277	8843	2
146277	8844	0
146277	8845	0
146277	8846	1
146277	8847	0
146278	8842	0
146278	8843	0
146278	8844	0
146278	8845	0
146278	8846	0
146278	8847	0
146279	8842	0
146279	8843	0
146279	8844	0
146279	8845	0
146279	8846	0
146279	8847	0
146284	9112	0
146284	9113	1
146284	9114	0
146284	9115	0
146284	9116	0
146284	9117	0
146832	8621	0
146832	8622	0
146832	8623	0
146832	8624	0
146832	8625	0
146832	8626	0
146833	8621	0
146833	8622	1
146833	8623	0
146833	8624	0
146833	8625	0
146833	8626	0
146836	8621	0
146836	8622	0
146836	8623	0
146836	8624	0
146836	8625	0
146836	8626	0
147049	11048	0
147049	11049	0
147049	11050	0
147049	11051	0
147049	11052	0
147049	11053	0
147085	10640	0
147085	10641	0
147085	10642	0
147085	10643	0
147085	10644	0
147085	10645	0
147173	10640	0
147173	10641	0
147173	10642	0
147173	10643	0
147173	10644	0
147173	10645	0
147244	11048	0
147244	11049	0
147244	11050	0
147244	11051	0
147244	11052	0
147244	11053	0
147264	11048	0
147264	11049	0
147264	11050	0
147264	11051	1
147264	11052	0
147264	11053	0
147327	10640	1
147327	10641	0
147327	10642	0
147327	10643	0
147327	10644	0
147327	10645	0
148337	11502	0
148337	11503	0
148337	11504	0
148337	11505	0
148337	11506	0
148337	11507	0
148338	11502	0
148338	11503	0
148338	11504	2
148338	11505	0
148338	11506	0
148338	11507	0
148339	11502	0
148339	11503	0
148339	11504	0
148339	11505	0
148339	11506	0
148339	11507	0
148433	11502	0
148433	11503	0
148433	11504	0
148433	11505	0
148433	11506	0
148433	11507	0
148502	10496	0
148502	10497	0
148502	10498	0
148502	10499	0
148502	10500	1
148502	10501	0
148503	10496	0
148503	10497	0
148503	10498	0
148503	10499	0
148503	10500	0
148503	10501	0
148504	10496	0
148504	10497	0
148504	10498	1
148504	10499	0
148504	10500	0
148504	10501	0
148513	10737	0
148513	10738	0
148513	10739	0
148513	10740	1
148513	10741	0
148513	10742	1
148514	10737	0
148514	10738	0
148514	10739	0
148514	10740	0
148514	10741	0
148514	10742	0
148517	10737	0
148517	10738	1
148517	10739	0
148517	10740	1
148517	10741	0
148517	10742	0
148519	11490	0
148519	11491	0
148519	11492	0
148519	11493	0
148519	11494	0
148519	11495	0
148532	11490	0
148532	11491	0
148532	11492	0
148532	11493	0
148532	11494	0
148532	11495	0
148533	11490	0
148533	11491	0
148533	11492	0
148533	11493	0
