Cycle	Stratum	Weight
0	Bos	0.171859019265744
0	Heide en duin	0.275958451514611
0	Landbouw	0.366923741300396
0	Moeras en water	0.0861657786475076
0	Suburbaan	0.0608640811771232
0	Urbaan	0.0382289280946184
1	Bos	0.187243127386468
1	Heide en duin	0.278619902628771
1	Landbouw	0.364857764481384
1	Moeras en water	0.0693556232272672
1	Suburbaan	0.0634474413258976
1	Urbaan	0.036476140950212
2	Bos	0.161332646554341
2	Heide en duin	0.227650427666848
2	Landbouw	0.46765663412654
2	Moeras en water	0.070573558533637
2	Suburbaan	0.0370706742986907
2	Urbaan	0.0357160588199428
