ObservationID	SubLocationID	Count
146069	2718	0
146069	2719	0
146069	2720	0
146069	2721	0
146069	2722	0
146069	2723	0
146070	2718	0
146070	2719	0
146070	2720	0
146070	2721	0
146070	2722	0
146070	2723	0
146071	2718	0
146071	2719	0
146071	2720	1
146071	2721	0
146071	2722	1
146071	2723	0
146073	6244	0
146073	6245	0
146073	6246	0
146073	6247	0
146073	6248	2
146073	6249	2
146076	3433	0
146076	3434	0
146076	3435	0
146076	3436	0
146077	3433	0
146077	3434	0
146077	3435	0
146077	3436	0
146078	3433	0
146078	3434	0
146078	3435	0
146078	3436	0
146080	6654	0
146080	6655	0
146080	6656	0
146080	6657	0
146080	6658	0
146080	6659	0
146081	6654	1
146081	6655	0
146081	6656	0
146081	6657	0
146081	6658	0
146081	6659	0
146082	6654	0
146082	6655	0
146082	6656	0
146082	6657	0
146082	6658	0
146082	6659	0
146115	7648	0
146115	7649	0
146115	7650	0
146115	7651	0
146115	7652	0
146115	7653	0
146117	7648	0
146117	7649	0
146117	7650	0
146117	7651	0
146117	7652	0
146117	7653	0
146119	7648	0
146119	7649	0
146119	7650	1
146119	7651	0
146119	7652	0
146119	7653	0
146151	4378	0
146151	4379	0
146151	4380	0
146151	4381	0
146151	4382	1
146151	4383	0
146157	4378	0
146157	4379	0
146157	4380	0
146157	4381	0
146157	4382	1
146157	4383	0
146184	4104	0
146184	4105	0
146184	4106	3
146184	4107	0
146184	4108	2
146184	4109	0
146185	4104	0
146185	4105	0
146185	4106	0
146185	4107	0
146185	4108	0
146185	4109	0
146186	4104	0
146186	4105	0
146186	4106	1
146186	4107	0
146186	4108	0
146186	4109	0
146294	3029	0
146294	3030	0
146294	3031	0
146294	3032	0
146294	3033	3
146294	3034	0
146295	3029	0
146295	3030	0
146295	3031	1
146295	3032	1
146295	3033	1
146295	3034	0
146296	3029	0
146296	3030	0
146296	3031	1
146296	3032	0
146296	3033	0
146296	3034	0
146303	6160	0
146303	6161	0
146303	6162	0
146303	6163	0
146303	6164	0
146303	6165	0
146304	6160	0
146304	6161	2
146304	6162	0
146304	6163	1
146304	6164	0
146304	6165	0
146305	6160	0
146305	6161	0
146305	6162	0
146305	6163	0
146305	6164	0
146305	6165	0
146350	6112	0
146350	6113	1
146350	6114	0
146350	6115	2
146350	6116	0
146350	6117	3
146354	7339	0
146354	7340	2
146354	7341	0
146354	7342	0
146354	7343	0
146354	7344	0
146371	7339	1
146371	7340	1
146371	7341	0
146371	7342	0
146371	7343	1
146371	7344	0
146441	3367	0
146441	3368	0
146441	3369	0
146441	3370	0
146441	3371	0
146441	3372	0
146442	3367	0
146442	3368	0
146442	3369	0
146442	3370	0
146442	3371	0
146442	3372	1
146443	3367	0
146443	3368	2
146443	3369	1
146443	3370	0
146443	3371	1
146443	3372	0
146450	2736	0
146450	2737	0
146450	2738	0
146450	2739	0
146450	2740	0
146450	2741	0
146452	2736	0
146452	2737	0
146452	2738	0
146452	2739	0
146452	2740	1
146452	2741	0
146482	4462	1
146482	4463	0
146482	4464	2
146482	4465	0
146482	4466	0
146482	4467	0
146483	4462	1
146483	4463	0
146483	4464	0
146483	4465	0
146483	4466	0
146483	4467	0
146484	4462	1
146484	4463	0
146484	4464	0
146484	4465	0
146484	4466	0
146484	4467	0
146488	7339	1
146488	7340	0
146488	7341	0
146488	7342	2
146488	7343	0
146488	7344	0
146489	3663	0
146489	3664	0
146489	3665	0
146489	3666	0
146489	3667	0
146489	3668	0
146510	3663	0
146510	3664	0
146510	3665	0
146510	3666	0
146510	3667	0
146510	3668	1
146604	6088	0
146604	6089	0
146604	6090	0
146604	6091	0
146604	6092	0
146604	6093	0
146605	6088	0
146605	6089	0
146605	6090	0
146605	6091	1
146605	6092	0
146605	6093	0
146606	6088	0
146606	6089	1
146606	6090	0
146606	6091	0
146606	6092	0
146606	6093	0
146706	5219	0
146706	5220	0
146706	5221	0
146706	5222	0
146706	5223	0
146706	5224	0
146724	5219	0
146724	5220	0
146724	5221	0
146724	5222	2
146724	5223	0
146724	5224	0
146726	3307	1
146726	3308	0
146726	3309	1
146726	3310	1
146726	3311	0
146726	3312	0
146727	3307	0
146727	3308	0
146727	3309	2
146727	3310	2
146727	3311	0
146727	3312	0
146728	3307	0
146728	3308	0
146728	3309	3
146728	3310	0
146728	3311	0
146728	3312	0
146744	7486	1
146744	7487	1
146744	7488	2
146744	7489	1
146744	7490	0
146744	7491	0
146745	7486	0
146745	7487	0
146745	7488	0
146745	7489	1
146745	7490	0
146745	7491	0
146746	7486	0
146746	7487	0
146746	7488	0
146746	7489	3
146746	7490	0
146746	7491	0
146747	4504	0
146747	4505	1
146747	4506	2
146747	4507	0
146748	4504	0
146748	4505	0
146748	4506	1
146748	4507	1
146749	4504	0
146749	4505	0
146749	4506	3
146749	4507	1
146756	3164	0
146756	3165	0
146756	3166	0
146756	3167	4
146756	3168	0
146756	3169	0
146757	3164	0
146757	3165	0
146757	3166	0
146757	3167	0
146757	3168	0
146757	3169	0
146758	3164	0
146758	3165	0
146758	3166	1
146758	3167	0
146758	3168	2
146758	3169	1
146759	5279	0
146759	5280	0
146759	5281	0
146759	5282	1
146759	5283	0
146759	5284	0
146760	5279	0
146760	5280	2
146760	5281	0
146760	5282	0
146760	5283	0
146760	5284	0
146761	5279	0
146761	5280	0
146761	5281	1
146761	5282	0
146761	5283	0
146761	5284	0
146768	4616	0
146768	4617	0
146768	4618	0
146768	4619	1
146768	4620	0
146768	4621	0
146787	5219	0
146787	5220	0
146787	5221	0
146787	5222	0
146787	5223	0
146787	5224	0
146870	5011	0
146870	5012	0
146870	5013	0
146870	5014	0
146870	5015	0
146870	5016	0
146984	2718	0
146984	2719	0
146984	2720	0
146984	2721	0
146984	2722	0
146984	2723	0
146985	2718	0
146985	2719	0
146985	2720	0
146985	2721	0
146985	2722	0
146985	2723	0
146986	2718	0
146986	2719	0
146986	2720	1
146986	2721	0
146986	2722	1
146986	2723	0
147066	2856	0
147066	2857	0
147066	2858	0
147066	2859	0
147066	2860	1
147066	2861	0
147073	3940	0
147073	3941	0
147073	3942	0
147073	3943	0
147073	3944	0
147073	3945	0
147123	4574	0
147123	4575	0
147123	4576	0
147123	4577	0
147123	4578	1
147123	4579	1
147124	4574	0
147124	4575	0
147124	4576	1
147124	4577	0
147124	4578	0
147124	4579	1
147213	3940	0
147213	3941	0
147213	3942	0
147213	3943	0
147213	3944	1
147213	3945	0
147230	3077	0
147230	3078	2
147230	3079	1
147230	3080	1
147230	3081	0
147230	3082	0
147231	3077	0
147231	3078	0
147231	3079	0
147231	3080	1
147231	3081	1
