Cycle	Stratum	Weight
0	Bos	0.0137615759827726
0	Heide en duin	0.0157060928844892
0	Landbouw	0.935004766741445
0	Moeras en water	0.0134921399602407
0	Suburbaan	0.0104971545760348
0	Urbaan	0.0115382698550173
1	Bos	0.0141381135926753
1	Heide en duin	0.0172126421881903
1	Landbouw	0.93226531736171
1	Moeras en water	0.0149711308776152
1	Suburbaan	0.0114976989989536
1	Urbaan	0.00991509698085547
2	Bos	0.0159737782568437
2	Heide en duin	0.0182503786067595
2	Landbouw	0.927701406520111
2	Moeras en water	0.0160303533456358
2	Suburbaan	0.0112271700641868
2	Urbaan	0.0108169132064631
