Year	Stratum	Weight
2007	Bos	0.444065861787934
2007	Heide en duin	0.185286926533153
2007	Landbouw	0.338321456885395
2007	Suburbaan	0.0323257547935182
2008	Bos	0.427620079468491
2008	Heide en duin	0.105042259139334
2008	Landbouw	0.426732269203007
2008	Suburbaan	0.0406053921891674
2009	Bos	0.375254427097645
2009	Heide en duin	0.302369979201329
2009	Landbouw	0.245877714049683
2009	Moeras en water	0.0328680405849633
2009	Suburbaan	0.0436298390663798
2010	Bos	0.48922855994293
2010	Heide en duin	0.144118792954278
2010	Landbouw	0.332401535800622
2010	Suburbaan	0.0342511113021696
2011	Bos	0.348229571502057
2011	Heide en duin	0.119878361311687
2011	Landbouw	0.47011141134369
2011	Moeras en water	0.0175756893957345
2011	Suburbaan	0.0442049664468318
2012	Bos	0.472528873177536
2012	Heide en duin	0.17339709710922
2012	Landbouw	0.26863129379017
2012	Moeras en water	0.0281854996627144
2012	Suburbaan	0.0572572362603598
2013	Bos	0.611249327453793
2013	Heide en duin	0.13519253435078
2013	Landbouw	0.253558138195427
2014	Bos	0.304479701353243
2014	Heide en duin	0.119392040530631
2014	Landbouw	0.525881607892807
2014	Suburbaan	0.0502466502233184
