ObservationID	Count
97	1
535	2
975	4
1065	1
1084	1
1303	1
2264	1
3487	2
3493	2
4777	2
4783	2
4784	6
5241	1
8579	1
14538	1
17401	1
17406	1
19139	1
20215	1
21253	1
21682	3
22365	1
27515	2
29622	1
29623	3
29629	5
29632	1
29633	2
29634	1
31393	1
31672	1
31804	1
34804	10
34805	2
34822	4
34823	1
35148	2
35659	10
35661	6
35662	2
35663	3
37349	10
37407	2
37754	1
37843	2
37848	1
37952	2
38311	3
38313	1
38316	1
38773	2
38774	4
38776	5
38822	1
38829	1
38921	2
39361	3
39768	25
39779	4
39785	22
39802	1
39805	4
39807	1
39958	1
39968	2
40029	3
40030	5
40117	5
40118	1
40122	1
41212	2
41400	2
41402	2
41537	1
42287	1
42419	1
42481	2
44078	1
44088	1
44109	1
44110	1
44112	3
44205	3
