Cycle	Stratum	Weight
0	Bos	0.0483220034205434
0	Heide en duin	0.0285150176924583
0	Landbouw	0.824060859500508
0	Moeras en water	0.0196050946371287
0	Suburbaan	0.0270960526620888
0	Urbaan	0.0524009720872728
1	Bos	0.0523512466083478
1	Heide en duin	0.0294165000835989
1	Landbouw	0.820007212842651
1	Moeras en water	0.0184259479996484
1	Suburbaan	0.0288073290600921
1	Urbaan	0.0509917634056619
2	Bos	0.0485142598015692
2	Heide en duin	0.028792060243839
2	Landbouw	0.822678442295665
2	Moeras en water	0.0199252311073472
2	Suburbaan	0.0265682178836691
2	Urbaan	0.0535217886679107
