Year	Stratum	Weight
2007	Bos	0.0762507964157382
2007	Heide en duin	0.381788656034749
2007	Moeras en water	0.275528226417176
2007	Suburbaan	0.266432321132336
2008	Bos	0.165514294900876
2008	Heide en duin	0.393023225084677
2008	Moeras en water	0.441462480014447
2009	Bos	0.132303698216887
2009	Heide en duin	0.68228339753394
2009	Moeras en water	0.185412904249173
2010	Bos	0.0851484607941568
2010	Heide en duin	0.338625285501527
2010	Moeras en water	0.254317025748977
2010	Suburbaan	0.321909227955339
2011	Bos	0.0917111625455462
2011	Heide en duin	0.547242019387217
2011	Moeras en water	0.361046818067236
2012	Bos	0.157286171436674
2012	Heide en duin	0.692604420783289
2012	Moeras en water	0.150109407780037
2013	Bos	0.101105271650186
2013	Heide en duin	0.447237397137127
2013	Moeras en water	0.225791208537907
2013	Suburbaan	0.22586612267478
2014	Bos	0.18127832473824
2014	Heide en duin	0.497577746522894
2014	Moeras en water	0.321143928738865
