Year	Stratum	Weight
2007	Heide en duin	0.016382131683821
2007	Landbouw	0.927292764890118
2007	Moeras en water	0.0177339201273898
2007	Suburbaan	0.0285807952948892
2007	Urbaan	0.0100103880037821
2008	Bos	0.00257258855301092
2008	Heide en duin	0.0061087596725455
2008	Landbouw	0.94303555674376
2008	Moeras en water	0.0102924764596538
2008	Suburbaan	0.0247948790840701
2008	Urbaan	0.0131957394869593
2009	Landbouw	0.949716763963935
2009	Moeras en water	0.00577066776001268
2009	Suburbaan	0.0306405007653645
2009	Urbaan	0.0138720675106874
2010	Heide en duin	0.0132659510640686
2010	Landbouw	0.930152976455453
2010	Moeras en water	0.018597784662135
2010	Suburbaan	0.0302666026287043
2010	Urbaan	0.00771668518963866
2011	Bos	0.00267683992724552
2011	Heide en duin	0.0119795609937449
2011	Landbouw	0.93957379203818
2011	Moeras en water	0.0105381341963401
2011	Suburbaan	0.0265046712008054
2011	Urbaan	0.00872700164368445
2012	Heide en duin	0.007178600435465
2012	Landbouw	0.978672160124422
2012	Moeras en water	0.00466749313629201
2012	Suburbaan	0.0094817463038206
2013	Heide en duin	0.0233208995712566
2013	Landbouw	0.903942026318371
2013	Moeras en water	0.0235474677747964
2013	Suburbaan	0.0392588007857837
2013	Urbaan	0.00993080554979249
2014	Bos	0.00333075660207063
2014	Heide en duin	0.0091423526043042
2014	Landbouw	0.939609415132018
2014	Moeras en water	0.011801215202164
2014	Suburbaan	0.0230855888626274
2014	Urbaan	0.0130306715968155
