Cycle	Stratum	Weight
0	Bos	0.0889690870439701
0	Heide en duin	0.0426176608814963
0	Landbouw	0.775427984190655
0	Moeras en water	0.0221169265350492
0	Suburbaan	0.0164904354720464
0	Urbaan	0.054377905876783
1	Bos	0.0970754952648953
1	Heide en duin	0.044319714780629
1	Landbouw	0.767614529352765
1	Moeras en water	0.0212456971146536
1	Suburbaan	0.0190903185577373
1	Urbaan	0.0506542449293196
2	Bos	0.0857516313898019
2	Heide en duin	0.0407759765355453
2	Landbouw	0.777726536361841
2	Moeras en water	0.0261731407442711
2	Suburbaan	0.0151953253623098
2	Urbaan	0.0543773896062306
