Year	Stratum	Weight
2007	Bos	0.166786137144916
2007	Landbouw	0.381209188294477
2007	Moeras en water	0.452004674560608
2008	Bos	0.0560691700977032
2008	Heide en duin	0.0665697366889608
2008	Landbouw	0.540876691538892
2008	Moeras en water	0.336484401674444
2009	Bos	0.141202617952294
2009	Heide en duin	0.364087335484933
2009	Moeras en water	0.494710046562773
2010	Bos	0.110252615441081
2010	Heide en duin	0.0548076897585976
2010	Landbouw	0.505642876296404
2010	Moeras en water	0.329296818503917
2011	Bos	0.0701904860779704
2011	Heide en duin	0.104706946997872
2011	Landbouw	0.410615644825798
2011	Moeras en water	0.41448692209836
2012	Bos	0.228489703052803
2012	Heide en duin	0.335382267435056
2012	Moeras en water	0.436128029512141
2013	Bos	0.0932323115924834
2013	Heide en duin	0.0515514370382776
2013	Landbouw	0.386745805439484
2013	Moeras en water	0.468470445929755
2014	Bos	0.113424528054192
2014	Heide en duin	0.0778326933889109
2014	Landbouw	0.457102296647512
2014	Moeras en water	0.351640481909385
