Cycle	Stratum	Weight
0	Bos	0.00962334650983232
0	Heide en duin	0.011357554594761
0	Landbouw	0.916870156384932
0	Moeras en water	0.0239975452454712
0	Suburbaan	0.0119284196421787
0	Urbaan	0.0262229776228248
1	Bos	0.0102125693875165
1	Heide en duin	0.0139876132858358
1	Landbouw	0.917886761320011
1	Moeras en water	0.0262847416563707
1	Suburbaan	0.0129770062734477
1	Urbaan	0.0186513080768181
2	Bos	0.00591393528329583
2	Heide en duin	0.0148899759489505
2	Landbouw	0.906281964450686
2	Moeras en water	0.0354993804891298
2	Suburbaan	0.0147213250288938
2	Urbaan	0.0226934187990442
