ObservationID	SubLocationID	Count
146064	2977	0
146064	2978	6
146064	2979	0
146064	2980	0
146064	2981	0
146064	2982	0
146065	2977	2
146065	2978	2
146065	2979	0
146065	2980	0
146065	2981	0
146065	2982	0
146151	4034	0
146151	4035	0
146151	4036	0
146151	4037	0
146151	4038	0
146151	4039	0
146157	4034	0
146157	4035	0
146157	4036	0
146157	4037	0
146157	4038	0
146157	4039	0
146161	3177	0
146161	3178	0
146161	3179	0
146161	3180	0
146161	3181	0
146161	3182	0
146162	5148	0
146162	5149	0
146162	5150	5
146162	5151	0
146162	5152	0
146162	5153	0
146198	7616	10
146198	7617	0
146198	7618	0
146198	7619	0
146198	7620	0
146198	7621	0
146199	7616	10
146199	7617	0
146199	7618	0
146199	7619	0
146199	7620	0
146199	7621	0
146203	5796	0
146203	5797	0
146203	5798	0
146203	5799	0
146203	5800	0
146203	5801	0
146212	3177	15
146212	3178	15
146212	3179	11
146212	3180	26
146212	3181	10
146212	3182	10
146213	5148	2
146213	5149	0
146213	5150	20
146213	5151	21
146213	5152	21
146213	5153	0
146215	4884	0
146215	4885	0
146215	4886	0
146215	4887	0
146215	4888	0
146215	4889	0
146218	5796	0
146218	5797	2
146218	5798	0
146218	5799	0
146218	5800	0
146218	5801	0
146223	3717	0
146223	3718	0
146223	3719	0
146223	3720	0
146223	3721	0
146223	3722	0
146225	3717	0
146225	3718	0
146225	3719	0
146225	3720	0
146225	3721	0
146225	3722	1
146280	4884	0
146280	4885	0
146280	4886	0
146280	4887	0
146280	4888	0
146280	4889	3
146312	3429	0
146312	3430	0
146312	3431	0
146312	3432	0
146312	3433	6
146312	3434	4
146313	3429	0
146313	3430	0
146313	3431	0
146313	3432	0
146313	3433	5
146313	3434	9
146346	6625	4
146346	6626	2
146346	6627	3
146346	6628	2
146346	6629	0
146346	6630	0
146347	6625	8
146347	6626	5
146347	6627	12
146347	6628	12
146347	6629	7
146347	6630	0
146356	3927	0
146356	3928	0
146356	3929	0
146356	3930	2
146356	3931	3
146356	3932	2
146357	3927	0
146357	3928	0
146357	3929	0
146357	3930	0
146357	3931	6
146357	3932	0
146387	4116	0
146387	4117	0
146387	4118	0
146387	4119	0
146387	4120	0
146388	4116	0
146388	4117	0
146388	4118	0
146388	4119	0
146388	4120	0
146402	5441	2
146402	5442	0
146402	5443	0
146402	5444	0
146402	5445	0
146402	5446	0
146403	5441	2
146403	5442	0
146403	5443	2
146403	5444	0
146403	5445	0
146403	5446	0
146420	4438	0
146420	4439	0
146420	4440	0
146420	4441	0
146420	4442	0
146420	4443	0
146451	3375	0
146451	3376	0
146451	3377	0
146451	3378	2
146451	3379	0
146451	3380	0
146465	2584	0
146465	2585	3
146465	2586	0
146465	2587	2
146465	2588	0
146465	2589	0
146467	5453	0
146467	5454	0
146467	5455	0
146467	5456	0
146467	5457	0
146467	5458	0
146468	5453	0
146468	5454	0
146468	5455	0
146468	5456	0
146468	5457	0
146468	5458	0
146621	4438	1
146621	4439	0
146621	4440	1
146621	4441	0
146621	4442	0
146621	4443	0
146672	2690	0
146672	2691	0
146672	2692	0
146672	2693	0
146672	2694	0
146672	2695	0
146674	2690	3
146674	2691	0
146674	2692	0
146674	2693	0
146674	2694	0
146674	2695	0
146688	5892	4
146688	5893	6
146688	5894	1
146688	5895	0
146688	5896	1
146688	5897	1
146689	5892	0
146689	5893	6
146689	5894	2
146689	5895	2
146689	5896	0
146689	5897	1
146704	6923	2
146704	6924	0
146704	6925	0
146704	6926	0
146704	6927	0
146704	6928	0
146709	7598	0
146709	7599	0
146709	7600	0
146709	7601	0
146709	7602	0
146709	7603	0
146790	7239	0
146790	7240	2
146790	7241	2
146790	7242	8
146790	7243	12
146790	7244	0
146803	7562	0
146803	7563	0
146803	7564	0
146803	7565	1
146803	7566	2
146803	7567	0
146808	7598	0
146808	7599	0
146808	7600	0
146808	7601	0
146808	7602	7
146808	7603	0
146813	5976	4
146813	5977	0
146813	5978	0
146813	5979	0
146813	5980	0
146813	5981	0
146814	5976	0
146814	5977	0
146814	5978	0
146814	5979	0
146814	5980	0
146814	5981	0
146821	4092	9
146821	4093	0
146821	4094	0
146821	4095	0
146821	4096	0
146821	4097	0
146823	6923	0
146823	6924	0
146823	6925	0
146823	6926	0
146823	6927	0
146823	6928	0
146826	7562	0
146826	7563	0
146826	7564	0
146826	7565	0
146826	7566	0
146826	7567	1
146834	2761	0
146834	2762	0
146834	2763	0
146834	2764	0
146834	2765	0
146834	2766	0
146835	2761	0
146835	2762	0
146835	2763	0
146835	2764	0
146835	2765	0
146835	2766	0
147082	7670	0
147082	7671	3
147082	7672	0
147082	7673	0
147083	7670	0
147083	7671	0
147083	7672	0
147083	7673	0
147100	5381	1
147100	5382	0
147100	5383	0
147100	5384	0
147100	5385	0
147100	5386	0
147127	3045	0
147127	3046	0
147127	3047	0
147127	3048	0
147127	3049	0
147127	3050	0
147139	6300	0
147139	6301	0
147139	6302	0
147139	6303	0
147139	6304	0
147139	6305	1
147142	7138	0
147142	7139	0
147142	7140	0
147142	7141	0
147142	7142	0
147142	7143	0
147171	3956	0
147171	3957	0
147171	3958	0
147171	3959	0
147171	3960	0
147171	3961	0
147175	5309	0
147175	5310	0
147175	5311	0
147175	5312	0
147175	5313	2
147175	5314	0
147176	5309	0
147176	5310	0
147176	5311	0
147176	5312	0
147176	5313	0
147176	5314	0
147177	5142	0
147177	5143	0
147177	5144	0
147177	5145	0
147177	5146	0
147177	5147	0
147216	3974	0
147216	3975	0
147216	3976	8
147216	3977	0
147216	3978	0
147216	3979	2
147217	4396	0
147217	4397	0
147217	4398	0
147217	4399	2
147217	4400	0
147217	4401	0
147220	7263	1
147220	7264	3
147220	7265	0
147220	7266	0
147220	7267	1
147220	7268	0
147237	5142	4
147237	5143	2
147237	5144	0
147237	5145	2
147237	5146	6
147237	5147	0
147307	5381	1
147307	5382	0
147307	5383	0
147307	5384	0
147307	5385	0
147307	5386	0
147356	3639	3
147356	3640	4
147356	3641	8
147356	3642	3
147356	3643	1
147356	3644	4
147357	3639	6
147357	3640	5
147357	3641	10
147357	3642	6
147357	3643	10
147357	3644	2
147360	4396	1
147360	4397	0
147360	4398	1
147360	4399	0
147360	4400	0
147360	4401	0
147363	3956	1
147363	3957	0
147363	3958	24
147363	3959	4
147363	3960	16
147363	3961	0
147370	3045	0
147370	3046	0
147370	3047	0
147370	3048	0
147370	3049	1
147370	3050	0
147527	7263	0
147527	7264	3
147527	7265	0
147527	7266	0
147527	7267	0
147527	7268	0
147893	7138	0
147893	7139	0
147893	7140	8
147893	7141	0
147893	7142	0
147893	7143	0
147894	2566	2
147894	2567	0
147894	2568	1
147894	2569	2
147894	2570	10
147894	2571	0
147895	2566	2
147895	2567	0
147895	2568	5
147895	2569	5
147895	2570	5
147895	2571	4
148357	4074	0
148357	4075	0
148357	4076	0
148357	4077	0
148357	4078	0
148357	4079	0
148358	4074	0
148358	4075	1
148358	4076	0
148358	4077	0
148358	4078	0
148358	4079	1
148467	7359	1
148467	7360	0
148467	7361	1
148467	7362	0
148467	7363	0
148467	7364	0
148530	2566	2
148530	2567	0
148530	2568	1
148530	2569	2
148530	2570	10
148530	2571	0
148531	2566	2
148531	2567	0
148531	2568	5
148531	2569	5
148531	2570	5
148531	2571	4
148547	6725	3
148547	6726	1
148547	6727	1
148547	6728	0
148547	6729	3
148547	6730	0
148549	7359	6
148549	7360	2
148549	7361	5
148549	7362	1
148549	7363	0
148549	7364	2
148550	5537	0
148550	5538	0
148550	5539	0
148550	5540	0
148550	5541	0
148550	5542	0
148551	3345	0
148551	3346	0
148551	3347	0
148551	3348	0
148551	3349	1
148551	3350	0
148552	3345	0
148552	3346	0
148552	3347	0
148552	3348	0
148552	3349	0
148552	3350	0
148553	5537	0
148553	5538	0
148553	5539	1
148553	5540	0
148553	5541	0
148553	5542	0
148569	3759	0
148569	3760	0
148569	3761	0
148569	3762	0
148569	3763	0
148569	3764	0
148575	3759	0
148575	3760	0
148575	3761	0
148575	3762	1
148575	3763	0
148575	3764	0
148578	3639	3
148578	3640	4
148578	3641	8
148578	3642	3
148578	3643	1
148578	3644	4
148579	3639	6
148579	3640	5
148579	3641	10
148579	3642	6
148579	3643	10
148579	3644	2
148644	3759	0
148644	3760	0
148644	3761	0
148644	3762	0
148644	3763	0
148644	3764	0
148645	3759	0
148645	3760	0
148645	3761	0
148645	3762	1
148645	3763	0
148645	3764	0
148703	3417	0
148703	3418	0
148703	3419	0
148703	3420	0
148703	3421	0
148703	3422	3
148749	3956	0
148749	3957	0
148749	3958	0
148749	3959	0
148749	3960	0
148749	3961	0
148750	4396	0
148750	4397	0
148750	4398	0
148750	4399	2
148750	4400	0
148750	4401	0
148752	4396	1
148752	4397	0
