SpeciesID	Species	SpeciesNL	SpeciesEN	SpeciesFR
6870	Streptopelia turtur	Tortel	Turtle Dove	NA
7120	Psittacula krameri	Halsbandparkiet	Ring-necked parakeet	NA
7240	Cuculus canorus	Koekoek	Cuckoo	NA
7350	Tyto alba	Kerkuil	Barn Owl	NA
7570	Athena noctua	Steenuil	Little Owl	NA
7610	Strix aluco	Bosuil	Tawny Owl	NA
7670	Asio otus	Ransuil	Long-eared Owl	NA
7680	Asio flammeus	Velduil	Short-eared Owl	NA
7780	Caprimulgus europaeus	Nachtzwaluw	Nightjar	NA
7950	Apus apus	Gierzwaluw	Swift	NA
8310	Alcedo atthis	Ijsvogel	Kingfisher	NA
8400	Merops apiaster	Bijeneter	European Bee-eater	NA
8460	Upupa epops	Hop	Hoopoe	NA
8480	Jynx torquila	Draaihals	Wryneck	NA
8560	Picus viridis	Groene specht	Green Woodpecker	NA
8630	Dryocopus martius	Zwarte specht	Black Woodpecker	NA
8760	Dendrocopus major	Grote bonte specht	Great Spotted Woodpecker	NA
8830	Dendrocopus medius	Middelste Bonte Specht	Middle spotted woodpecker	NA
8870	Dendrocopus minor	Kleine bonte specht	Lesser Spotted Woodpecker	NA
9720	Galerida cristata	Kuifleeuwerik	Crested Lark	NA
9740	Lululla arborea	Boomleeuwerik	Woodlark	NA
9760	Alauda arvensis	Veldleeuwerik	Skylark	NA
9810	Riparia riparia	Oeverzwaluw	Sand Martin	NA
9920	Hirundo rustica	Boerenzwaluw	Barn Swallow	NA
10010	Delichon urbica	Huiszwaluw	House Martin	NA
10050	Anthus campestris	Duinpieper	Tawny pipit	NA
10090	Anthus trivialis	Boompieper	Tree Pipit	NA
10110	Anthus pratensis	Graspieper	Meadow Pipit	NA
10170	Motacilla flava	Gele kwikstaart	Yellow Wagtail	NA
10172	Motacilla flava flavissima	Engelse gele kwikstaart	Yellow wagtail (flavissima)	NA
10190	Motacilla cinerea	Grote gele kwikstaart	Grey Wagtail	NA
10200	Motacilla alba	Witte kwikstaart	Pied Wagtail	NA
10202	Motacilla alba yarelli	Rouwkwikstaart	Pied wagtail	NA
10500	Cinclus cinclus	Waterspreeuw	Dipper	NA
10660	Troglodytes troglodytes	Winterkoning	Wren	NA
10840	Prunella modularis	Heggenmus	Hedge Accentor	NA
10990	Erithacus rubecula	Roodborst	Robin	NA
11040	Luscinia megarhynchos	Nachtegaal	Nightingale	NA
11060	Luscinia svecica	Blauwborst	Bluethroat	NA
11210	Phoenicurus ochruros	Zwarte roodstaart	Black Redstart	NA
11220	Phoenicurus phoenicurus	Gekraagde roodstaart	Redstart	NA
11370	Saxicola rubetra	Paapje	Whinchat	NA
11390	Saxicola torquata	Roodborsttapuit	Stonechat	NA
11460	Oenanthe oenanthe	Tapuit	Northern Wheatear	NA
11870	Turdus merula	Merel	Blackbird	NA
11980	Turdus pilaris	Kramsvogel	Fieldfare	NA
12000	Turdus philomelos	Zanglijster	Song thrush	NA
12020	Turdus viscivorus	Grote lijster	Mistle thrush	NA
12200	Cettia cetti	Cetti's zanger	Cetti's warbler	NA
12260	Cisticola juncidis	Graszanger	Zitting cisticola	NA
12360	Locustella naevia	Sprinkhaanzanger	Grashopper warbler	NA
12380	Locustella luscinioides	Snor	Savi's warbler	NA
12430	Acrocephalus schoenobaenus	Rietzanger	Sedge warbler	NA
12500	Acrocephalus palustris	Bosrietzanger	Marsh warbler	NA
12510	Acrocephalus scirpaceus	Kleine karekiet	Reed warbler	NA
12530	Acrocephalus arundinaceu	Grote karekiet	Great reed warbler	NA
12590	Hippolais icterina	Spotvogel	Icterine warbler	NA
12600	Hippolais polyglotta	Orpheusspotvogel	Melodious warbler	NA
12740	Sylvia curruca	Braamsluiper	Lesser whitethroat	NA
12750	Sylvia communis	Grasmus	Whitethroat	NA
12760	Sylvia borin	Tuinfluiter	Garden warbler	NA
12770	Sylvia atricapilla	Zwartkop	Blackcap	NA
13080	Phylloscopus sibilatrix	Fluiter	Wood warbler	NA
13116	Phylloscopus collybita	Tjiftjaf	Chiffchaff	NA
13120	Phylloscopus trochilus	Fitis	Willow warbler	NA
13140	Regulus regulus	Goudhaan	Goldcrest	NA
13150	Regulus ignicapillus	Vuurgoudhaantje	Goldcrest	NA
13350	Muscicapa striata	Grauwe vliegenvanger	Spotted flycatcher	NA
13490	Ficedula hypoleuca	Bonte vliegenvanger	Pied flycatcher	NA
13640	Panurus biarmicus	Baardmannetje	Bearded tit	NA
14370	Aegithalos caudatus	Staartmees	Long-tailed tit	NA
14400	Parus palustris	Glanskop	Marsh tit	NA
14420	Parus montanus	Matkop	Willow tit	NA
14540	Parus cristatus	Kuifmees	Crested tit	NA
14610	Parus ater	Zwarte mees	Coal tit	NA
14620	Parus caeruleus	Pimpelmees	Blue tit	NA
14640	Parus major	Koolmees	Great tit	NA
14790	Sitta europaea	Boomklever	Nuthatch	NA
14860	Certhia familiaris	Taigaboomkruiper	Eurasian Tree-creeper	NA
14870	Certhia brachydactyla	Boomkruiper	Treecreeper	NA
14900	Remiz pendulinus	Buidelmees	Penduline tit	NA
15080	Oriolus oriolus	Wielewaal	Golden oriole	NA
15150	Lanius collurio	Grauwe klauwier	Red-backed shrike	NA
15200	Lanius excubitor	Klapekster	Great grey shrike	NA
15230	Lanius senator	Roodkopklauwier	Woodchat shrike	NA
15390	Garrulus glandarius	Gaai	Jay	NA
15490	Pica pica	Ekster	Magpie	NA
15600	Corvus monedula	Kauw	Jackdaw	NA
15630	Corvus frugilegus	Roek	Rook	NA
15670	Corvus corone	Zwarte kraai	Carrion crow	NA
15820	Sturnus vulgaris	Spreeuw	Starling	NA
15910	Passer domesticus	Huismus	House sparrow	NA
15980	Passer montanus	Ringmus	Tree sparrow	NA
16360	Fringilla coelebs	Vink	Chaffinch	NA
