Cycle	Stratum	Weight
0	Bos	0.051980516585307
0	Heide en duin	0.0100159744379527
0	Landbouw	0.865642713854802
0	Moeras en water	0.0246900507826141
0	Suburbaan	0.0245452844204807
0	Urbaan	0.0231254599188431
1	Bos	0.0634278167636683
1	Heide en duin	0.028957902717395
1	Landbouw	0.834259656602997
1	Moeras en water	0.0233211743321848
1	Suburbaan	0.0268656902039216
1	Urbaan	0.0231677593798329
2	Bos	0.0825972626678981
2	Heide en duin	0.0254646817961136
2	Landbouw	0.800365414415618
2	Moeras en water	0.0223670892435453
2	Suburbaan	0.0352467594486687
2	Urbaan	0.0339587924281563
