Cycle	Stratum	Weight
0	Bos	0.0804343929635019
0	Heide en duin	0.0340970719206218
0	Landbouw	0.855213632877749
0	Moeras en water	0.0152821047376736
0	Suburbaan	0.0113943753285203
0	Urbaan	0.003578422171933
1	Bos	0.089172982103992
1	Heide en duin	0.0357121322349465
1	Landbouw	0.843652836389018
1	Moeras en water	0.0161059786360136
1	Suburbaan	0.0119274932505703
1	Urbaan	0.00342857738545967
2	Bos	0.0799414440338167
2	Heide en duin	0.0320969790877665
2	Landbouw	0.854695776214915
2	Moeras en water	0.0193824235071345
2	Suburbaan	0.0138833771563675
