ObservationID	Count
55	5
56	2
57	2
59	2
151	1
152	2
154	3
155	3
156	3
161	1
166	1
167	1
171	2
174	2
178	3
210	1
241	3
242	9
244	9
246	1
266	7
269	7
387	1
388	1
390	1
393	1
394	3
396	3
397	1
402	2
410	3
412	1
424	5
434	5
436	3
460	1
468	1
469	5
472	1
480	8
483	10
489	1
495	1
509	1
524	50
527	35
529	17
546	3
547	4
548	3
549	10
551	1
553	4
555	5
561	7
563	2
566	4
567	2
568	11
569	2
570	1
572	1
573	10
574	13
575	2
576	2
580	2
582	2
591	7
592	10
594	1
618	3
632	5
646	4
647	4
648	13
709	12
710	3
711	2
712	1
714	1
716	1
717	4
718	5
720	1
721	1
722	3
724	2
727	2
729	8
730	2
731	29
785	1
786	1
799	3
801	3
802	1
803	3
804	3
805	3
807	2
808	2
809	2
810	2
811	2
816	45
884	3
978	3
1011	1
1012	1
1027	5
1028	2
1029	6
1030	1
1031	1
1032	8
1033	2
1035	3
1036	9
1050	2
1052	3
1053	3
1056	1
1085	4
1086	2
1089	1
1095	2
1097	2
1100	2
1104	2
1105	2
1106	2
1110	2
1112	2
1113	3
1114	1
1115	3
1116	5
1117	2
1120	2
1129	22
1131	2
1154	3
1155	2
1156	3
1157	4
1158	14
1195	6
1196	3
1200	1
1202	2
1204	1
1207	2
1213	2
1214	2
1215	1
1216	2
1219	1
1220	1
1221	5
1222	1
1225	1
1228	2
1235	1
1251	6
1252	1
1275	11
1276	12
1286	1
1292	2
1293	4
1295	3
1303	1
1305	1
1307	2
1308	2
1313	2
1320	5
1327	1
1328	2
1330	1
1331	1
1338	10
1339	2
1341	2
1342	3
1343	10
1344	10
1347	2
1351	2
1354	1
1357	2
1359	1
1360	2
1401	1
1413	2
1416	1
1423	1
1428	1
1440	3
1490	1
1492	1
1493	1
1500	1
1501	6
1502	2
1503	1
1504	5
1506	6
1568	5
1572	3
1593	1
1597	3
1607	2
1608	2
1611	1
1613	1
1624	2
1635	1
1638	1
1639	2
1646	2
1647	1
1648	2
1649	1
1651	1
1655	3
1656	1
1669	2
1672	6
1673	2
1689	2
1690	8
1696	1
1697	1
1698	1
1699	1
1700	4
1701	2
1702	4
1703	1
1704	1
1706	6
1707	1
1708	1
1709	2
1710	1
1711	1
1717	10
1718	22
1722	7
1723	6
1725	10
1726	2
1728	1
1754	4
1755	4
1756	1
1757	1
1758	5
1764	4
1766	4
1768	1
1778	12
1780	4
1783	4
1787	1
1796	2
1798	5
1799	3
1804	3
1805	3
1811	1
1812	1
1826	3
1873	1
1876	9
1899	1
1907	1
1918	4
1927	2
1932	28
1949	14
1950	8
2017	1
2019	5
2022	1
2027	1
2039	10
2051	18
2057	16
2058	14
2060	1
2062	2
2063	1
2064	1
2068	3
2069	1
2070	1
2072	1
2074	2
2075	1
2076	1
2077	5
2083	10
2085	10
2089	1
2101	2
2105	2
2114	4
2132	1
2138	2
2143	3
2221	3
2224	1
2233	5
2234	6
2235	8
2237	3
2238	3
2239	3
2241	2
2242	1
2244	1
2246	1
2247	6
2250	1
2269	1
2273	2
2281	6
2330	3
2341	6
2342	7
2344	1
2353	8
2354	1
2355	1
2356	1
2357	2
2358	1
2359	1
2360	5
2361	10
2362	3
2363	8
2364	8
2371	2
2372	1
2373	2
2375	1
2377	3
2378	4
2379	1
2380	4
2381	6
2382	13
2383	2
2384	1
2385	4
2386	5
2387	26
2416	5
2417	4
2418	3
2420	10
2421	1
2424	1
2432	5
2433	8
2434	7
2435	6
2436	4
2503	3
2504	2
2505	2
2507	1
2511	7
2513	10
2514	15
2519	3
2533	2
2534	3
2537	2
2538	12
2557	2
2561	2
2576	2
2585	1
2714	4
2737	2
2740	4
2742	2
2749	7
2751	1
2753	3
2761	1
2762	4
2763	1
