Cycle	Stratum	Weight
0	Bos	0.0151243532411616
0	Heide en duin	0.01147492868547
0	Landbouw	0.873065503069258
0	Moeras en water	0.0120479414154364
0	Suburbaan	0.0249961046423638
0	Urbaan	0.0632911689463104
1	Bos	0.0167701138305888
1	Heide en duin	0.0126105045259166
1	Landbouw	0.873652418069557
1	Moeras en water	0.0125738949081505
1	Suburbaan	0.0267414715740775
1	Urbaan	0.0576515970917093
2	Bos	0.0195024474965936
2	Heide en duin	0.013724394202466
2	Landbouw	0.862726700565838
2	Moeras en water	0.0152695677240652
2	Suburbaan	0.0253286977315565
2	Urbaan	0.0634481922794811
