Year	Stratum	Weight
2007	Heide en duin	0.0688656636270522
2007	Landbouw	0.628720333474662
2007	Moeras en water	0.0621234872366027
2007	Suburbaan	0.240290515661683
2008	Landbouw	0.954583650786537
2008	Suburbaan	0.045416349213463
2009	Landbouw	0.944154733917504
2009	Suburbaan	0.0558452660824963
2010	Heide en duin	0.0234153797635697
2010	Landbouw	0.864099182094549
2010	Moeras en water	0.0234474702794631
2010	Suburbaan	0.089037967862418
2011	Landbouw	0.876388668465323
2011	Suburbaan	0.123611331534677
2012	Landbouw	1
2013	Heide en duin	0.0737895711377397
2013	Landbouw	0.553579274647758
2013	Moeras en water	0.074506454743433
2013	Suburbaan	0.298124699471069
2014	Landbouw	0.954404536862004
2014	Suburbaan	0.0455954631379962
