Cycle	Stratum	Weight
0	Bos	0.00468439751465988
0	Heide en duin	0.00789795056695176
0	Landbouw	0.966127295738881
0	Moeras en water	0.00454276187335305
0	Suburbaan	0.00580644781610547
0	Urbaan	0.0109411464900492
1	Bos	0.00502840384354889
1	Heide en duin	0.00918284984443425
1	Landbouw	0.964513768852253
1	Moeras en water	0.00493025672884072
1	Suburbaan	0.00532461728835565
1	Urbaan	0.0110201034425669
2	Bos	0.00533984036288057
2	Heide en duin	0.0126762734131681
2	Landbouw	0.95781893920563
2	Moeras en water	0.00708546194167458
2	Suburbaan	0.00478521117576424
2	Urbaan	0.0122942739008827
