Year	Stratum	Weight
2007	Bos	0.226383063954493
2007	Heide en duin	0.0528967939652563
2007	Landbouw	0.620909906765638
2007	Moeras en water	0.0272674415806247
2007	Suburbaan	0.0263672722251927
2007	Urbaan	0.0461755215087952
2008	Bos	0.234490545717418
2008	Heide en duin	0.0453218504019675
2008	Landbouw	0.631265807276618
2008	Moeras en water	0.0363626211238818
2008	Suburbaan	0.0525591754801152
2009	Bos	0.282775914452558
2009	Heide en duin	0.156242240596313
2009	Landbouw	0.423504179187961
2009	Moeras en water	0.0283062509411463
2009	Suburbaan	0.0751488163672142
2009	Urbaan	0.0340225984548084
2010	Bos	0.258901161376851
2010	Heide en duin	0.0643511923690649
2010	Landbouw	0.593688990466761
2010	Moeras en water	0.0214797949859891
2010	Suburbaan	0.0407830199347547
2010	Urbaan	0.0207958408665791
2011	Bos	0.212075702855536
2011	Heide en duin	0.0481424701906267
2011	Landbouw	0.647293979165878
2011	Moeras en water	0.024199876137938
2011	Suburbaan	0.0532573916466301
2011	Urbaan	0.0150305800033909
2012	Bos	0.402163462843983
2012	Heide en duin	0.0761683192671145
2012	Landbouw	0.354005825212741
2012	Moeras en water	0.0247621462274022
2012	Suburbaan	0.100605777709985
2012	Urbaan	0.0422944687387746
2013	Bos	0.25023972337498
2013	Heide en duin	0.0605352907336159
2013	Landbouw	0.583899277681266
2013	Moeras en water	0.026195745336844
2013	Suburbaan	0.0349392489230633
2013	Urbaan	0.0441907139502315
2014	Bos	0.223489232057604
2014	Heide en duin	0.0368063645623143
2014	Landbouw	0.648478410811741
2014	Moeras en water	0.039592273437791
2014	Suburbaan	0.0516337191305498
