Year	Stratum	Weight
2007	Bos	0.0638902823612853
2007	Heide en duin	0.0465308237514747
2007	Landbouw	0.79652017833708
2007	Moeras en water	0.0524691276317313
2007	Suburbaan	0.0405895879184289
2008	Bos	0.0681492454331146
2008	Heide en duin	0.0359609573209379
2008	Landbouw	0.840021730440369
2008	Moeras en water	0.0454422002009459
2008	Suburbaan	0.0104258666046326
2009	Bos	0.035993208851995
2009	Heide en duin	0.0618717117124228
2009	Landbouw	0.81757196946629
2009	Moeras en water	0.0420346361971135
2009	Suburbaan	0.0223191207002817
2009	Urbaan	0.0202093530718969
2010	Bos	0.073426063912703
2010	Heide en duin	0.0617706500870377
2010	Landbouw	0.777111154514978
2010	Moeras en water	0.0449856771429999
2010	Suburbaan	0.0427064543422811
2011	Bos	0.0552655183141766
2011	Heide en duin	0.0347126588637927
2011	Landbouw	0.850800807136507
2011	Moeras en water	0.0496208349049952
2011	Suburbaan	0.00960018078052846
2012	Bos	0.0615105477282525
2012	Heide en duin	0.0515923142084655
2012	Landbouw	0.799281553526777
2012	Moeras en water	0.0419313581070338
2012	Suburbaan	0.0170362328614541
2012	Urbaan	0.0286479935680173
2013	Bos	0.0818248830335785
2013	Heide en duin	0.0411307881825697
2013	Landbouw	0.80227861465366
2013	Moeras en water	0.0415303837796533
2013	Suburbaan	0.0332353303505387
2014	Bos	0.0532649437758927
2014	Heide en duin	0.032489574900851
2014	Landbouw	0.858633614737315
2014	Moeras en water	0.0419384902143523
2014	Suburbaan	0.0136733763715893
