Cycle	Stratum	Weight
0	Bos	0.00181713621965867
0	Heide en duin	0.0686271830276242
0	Landbouw	0.912490362704824
0	Moeras en water	0.00805574394477056
0	Suburbaan	0.00900957410312289
1	Bos	0.00186022231467447
1	Heide en duin	0.0679426025609968
1	Landbouw	0.913446460173413
1	Moeras en water	0.00729565394460488
1	Suburbaan	0.00945506100631092
2	Bos	0.00291157208954995
2	Heide en duin	0.0628345033169672
2	Landbouw	0.921626656157981
2	Moeras en water	0.00827867173749021
2	Suburbaan	0.00434859669801122
