Cycle	Stratum	Weight
0	Bos	0.0396163350537409
0	Heide en duin	0.0233777661314332
0	Landbouw	0.843705119567881
0	Moeras en water	0.0152889991904524
0	Suburbaan	0.0251373939249178
0	Urbaan	0.0528743861315745
1	Bos	0.0439227130048376
1	Heide en duin	0.0237663623205017
1	Landbouw	0.839409145714515
1	Moeras en water	0.0150912960002553
1	Suburbaan	0.0273495372401279
1	Urbaan	0.0504609457197624
2	Bos	0.0416742803551129
2	Heide en duin	0.0269811218132365
2	Landbouw	0.832323529841422
2	Moeras en water	0.0171159916837718
2	Suburbaan	0.025934534158064
2	Urbaan	0.0559705421483924
