Cycle	Stratum	Weight
0	Bos	0.0087701945336251
0	Heide en duin	0.00933893905041837
0	Landbouw	0.87749421300907
0	Moeras en water	0.00869686491372672
0	Suburbaan	0.0267004875758975
0	Urbaan	0.0689993009172619
1	Bos	0.00924380235417232
1	Heide en duin	0.0100693641181961
1	Landbouw	0.87880898975006
1	Moeras en water	0.00763231730862593
1	Suburbaan	0.0288498344495916
1	Urbaan	0.0653956920193539
2	Bos	0.00687751689653546
2	Heide en duin	0.0111317531806671
2	Landbouw	0.874688943587814
2	Moeras en water	0.00977765670989454
2	Suburbaan	0.028247885490751
2	Urbaan	0.069276244134338
