Cycle	Stratum	Weight
0	Bos	0.0864701891680486
0	Heide en duin	0.0447677705968459
0	Landbouw	0.76755598872419
0	Moeras en water	0.0222647194827042
0	Suburbaan	0.0245400621259387
0	Urbaan	0.0544012699022728
1	Bos	0.0925832680102441
1	Heide en duin	0.0437735074947189
1	Landbouw	0.756652959723832
1	Moeras en water	0.0202704085787031
1	Suburbaan	0.0289352416459647
1	Urbaan	0.0577846145465368
2	Bos	0.0808003161200176
2	Heide en duin	0.0412158595714775
2	Landbouw	0.763972367269074
2	Moeras en water	0.0264554913239178
2	Suburbaan	0.0241359634637851
2	Urbaan	0.0634200022517276
