Cycle	Stratum	Weight
0	Bos	0.044150836701985
0	Heide en duin	0.0226610279617758
0	Landbouw	0.837357992842279
0	Moeras en water	0.0177542580881448
0	Suburbaan	0.0245380254998423
0	Urbaan	0.0535378589059728
1	Bos	0.0488380972470762
1	Heide en duin	0.0231787832252272
1	Landbouw	0.831079233829096
1	Moeras en water	0.0170437597298085
1	Suburbaan	0.026646400769562
1	Urbaan	0.05321372519923
2	Bos	0.0443689067633237
2	Heide en duin	0.0235456557948323
2	Landbouw	0.838722923641657
2	Moeras en water	0.0193027321565999
2	Suburbaan	0.0217270354421698
2	Urbaan	0.0523327462014177
