Cycle	Stratum	Weight
0	Bos	0.142986238048148
0	Heide en duin	0.0679397458673084
0	Landbouw	0.655657232264485
0	Moeras en water	0.0324147181925494
0	Suburbaan	0.0402808242706265
0	Urbaan	0.0607212413568823
1	Bos	0.153856689282681
1	Heide en duin	0.0638105897763903
1	Landbouw	0.6523157844706
1	Moeras en water	0.0298391797456297
1	Suburbaan	0.0458324638125899
1	Urbaan	0.054345292912109
2	Bos	0.140467275454298
2	Heide en duin	0.0624115431336078
2	Landbouw	0.664252427785155
2	Moeras en water	0.0365464231668986
2	Suburbaan	0.0329091415656513
2	Urbaan	0.0634131888943893
