Year	Stratum	Weight
2007	Bos	0.0471927439070439
2007	Heide en duin	0.0472589274284446
2007	Landbouw	0.862916206641901
2007	Moeras en water	0.0426321220226101
2008	Bos	0.0244379297158396
2008	Landbouw	0.942971444002502
2008	Moeras en water	0.0325906262816583
2009	Landbouw	1
2010	Bos	0.0468720245293366
2010	Heide en duin	0.0466011145129543
2010	Landbouw	0.85986188013889
2010	Moeras en water	0.0466649808188195
2011	Bos	0.0164440022884621
2011	Landbouw	0.961977182447943
2011	Moeras en water	0.0215788152635949
2012	Landbouw	0.905040751451994
2012	Moeras en water	0.0949592485480054
2013	Bos	0.0504661434154462
2013	Heide en duin	0.0558090252275973
2013	Landbouw	0.837373607894317
2013	Moeras en water	0.0563512234626393
2014	Landbouw	0.964662049199905
2014	Moeras en water	0.0353379508000955
