Cycle	Stratum	Weight
0	Bos	0.26428931775969
0	Heide en duin	0.0629075250868562
0	Landbouw	0.453071583094734
0	Moeras en water	0.034460284720946
0	Suburbaan	0.0642341851430581
0	Urbaan	0.121037104194716
1	Bos	0.287736069496583
1	Heide en duin	0.0632501029667552
1	Landbouw	0.455549299409831
1	Moeras en water	0.0274283217407599
1	Suburbaan	0.0609372078215464
1	Urbaan	0.105098998564525
2	Bos	0.277361461814055
2	Heide en duin	0.0945114465367093
2	Landbouw	0.385069171315734
2	Moeras en water	0.0415074096772292
2	Suburbaan	0.0545072296585944
2	Urbaan	0.147043280997678
