Cycle	Stratum	Weight
0	Bos	0.0102926608810049
0	Heide en duin	0.0147505175635176
0	Landbouw	0.928723279549545
0	Moeras en water	0.0142592227798329
0	Suburbaan	0.0159475679923068
0	Urbaan	0.0160267512337924
1	Bos	0.0122804630527608
1	Heide en duin	0.0157816320240815
1	Landbouw	0.92726561664621
1	Moeras en water	0.0133786292348085
1	Suburbaan	0.0173385081798558
1	Urbaan	0.013955150862283
2	Bos	0.0134751050590633
2	Heide en duin	0.0145402811177014
2	Landbouw	0.922477115492319
2	Moeras en water	0.0149001558048692
2	Suburbaan	0.018448675125563
2	Urbaan	0.0161586674004838
