Cycle	Stratum	Weight
0	Bos	0.0556006513668747
0	Heide en duin	0.0302730873658061
0	Landbouw	0.818764844220707
0	Moeras en water	0.0197869840220328
0	Suburbaan	0.0295064490705483
0	Urbaan	0.0460679839540311
1	Bos	0.0606914224331049
1	Heide en duin	0.0301983634675491
1	Landbouw	0.814464883672701
1	Moeras en water	0.0186282201343148
1	Suburbaan	0.0312950573045865
1	Urbaan	0.0447220529877436
2	Bos	0.0552748190371957
2	Heide en duin	0.0323493783514493
2	Landbouw	0.81905204007629
2	Moeras en water	0.0221986818336695
2	Suburbaan	0.0279851022240518
2	Urbaan	0.0431399784773442
