ObservationID	SubLocationID	Count
146091	6316	2
146091	6317	0
146091	6318	1
146091	6319	0
146091	6320	0
146091	6321	0
146094	6316	0
146094	6317	0
146094	6318	0
146094	6319	0
146094	6320	1
146094	6321	0
146096	6316	0
146096	6317	0
146096	6318	0
146096	6319	0
146096	6320	0
146096	6321	0
146130	5249	0
146130	5250	0
146130	5251	0
146130	5252	0
146130	5253	0
146130	5254	0
146142	5249	0
146142	5250	0
146142	5251	0
146142	5252	0
146142	5253	0
146142	5254	0
146147	5249	1
146147	5250	0
146147	5251	1
146147	5252	0
146147	5253	0
146147	5254	0
146440	2958	0
146440	2959	0
146440	2960	0
146440	2961	0
146440	2962	0
146440	2963	0
146564	2958	0
146564	2959	0
146564	2960	0
146564	2961	0
146564	2962	0
146564	2963	0
146565	2958	0
146565	2959	0
146565	2960	0
146565	2961	0
146565	2962	0
146565	2963	1
146841	5303	0
146841	5304	3
146841	5305	0
146841	5306	1
146841	5307	1
146841	5308	1
146842	5303	0
146842	5304	2
146842	5305	0
146842	5306	2
146842	5307	0
146842	5308	1
146843	5303	0
146843	5304	0
146843	5305	0
146843	5306	2
146843	5307	0
146843	5308	2
147071	3845	0
147071	3846	0
147071	3847	0
147071	3848	0
147071	3849	0
147071	3850	0
147240	3845	0
147240	3846	0
147240	3847	0
147240	3848	0
147240	3849	0
147240	3850	0
151843	5303	0
151843	5304	2
151843	5305	0
151843	5306	2
151843	5307	0
151843	5308	1
152332	5213	0
152332	5214	0
152332	5215	0
152332	5216	0
152332	5217	0
152332	5218	0
152333	5213	0
152333	5214	0
152333	5215	0
152333	5216	0
152333	5217	0
152333	5218	1
152334	5213	0
152334	5214	0
152334	5215	0
152334	5216	2
152334	5217	0
152334	5218	1
152752	5213	0
152752	5214	0
152752	5215	0
152752	5216	0
152752	5217	0
152752	5218	0
152754	5213	0
152754	5214	0
152754	5215	0
152754	5216	0
152754	5217	0
152754	5218	1
152756	5213	0
152756	5214	0
152756	5215	0
152756	5216	2
152756	5217	0
152756	5218	1
153371	5303	0
153371	5304	3
153371	5305	0
153371	5306	1
153371	5307	1
153371	5308	1
153467	3845	0
153467	3846	0
153467	3847	0
153467	3848	0
153467	3849	0
153467	3850	0
153468	3845	0
153468	3846	0
153468	3847	0
153468	3848	0
153468	3849	0
153468	3850	0
155088	2958	0
155088	2959	0
155088	2960	0
155088	2961	0
155088	2962	0
155088	2963	1
155247	2958	0
155247	2959	0
155247	2960	0
155247	2961	0
155247	2962	0
155247	2963	2
155787	6316	0
155787	6317	0
155787	6318	0
155787	6319	0
155787	6320	0
155787	6321	0
155792	2958	0
155792	2959	0
155792	2960	0
155792	2961	0
155792	2962	0
155792	2963	1
156660	2958	0
156660	2959	0
156660	2960	0
156660	2961	0
156660	2962	0
156660	2963	1
156661	2958	0
156661	2959	0
156661	2960	0
156661	2961	0
156661	2962	0
156661	2963	2
156662	2958	0
156662	2959	0
156662	2960	0
156662	2961	0
156662	2962	0
156662	2963	1
156735	5249	0
156735	5250	0
156735	5251	0
156735	5252	0
156735	5253	0
156735	5254	0
156737	5249	1
156737	5250	0
156737	5251	1
156737	5252	0
156737	5253	0
156737	5254	0
156738	5249	0
156738	5250	0
156738	5251	0
156738	5252	0
156738	5253	1
156738	5254	0
156749	5303	0
156749	5304	1
156749	5305	0
156749	5306	2
156749	5307	1
156749	5308	1
156765	6316	2
156765	6317	0
156765	6318	1
156765	6319	0
156765	6320	0
156765	6321	0
156815	5249	1
156815	5250	0
156815	5251	1
156815	5252	0
156815	5253	0
156815	5254	0
156817	5249	0
156817	5250	0
156817	5251	0
156817	5252	0
156817	5253	1
156817	5254	0
156820	5249	0
156820	5250	0
156820	5251	0
156820	5252	0
156820	5253	0
156820	5254	0
159169	3845	0
159169	3846	0
159169	3847	0
159169	3848	0
159169	3849	0
159169	3850	0
159170	3845	0
159170	3846	0
159170	3847	0
159170	3848	0
159170	3849	0
159170	3850	0
159173	3845	1
159173	3846	0
159173	3847	0
159173	3848	0
159173	3849	0
159173	3850	0
159223	5213	0
159223	5214	0
159223	5215	0
159223	5216	0
159223	5217	0
159223	5218	0
159458	5213	0
159458	5214	0
159458	5215	2
159458	5216	0
159458	5217	1
159458	5218	0
159509	5213	0
159509	5214	0
159509	5215	1
159509	5216	2
159509	5217	0
159509	5218	0
160459	5249	0
160459	5250	0
160459	5251	0
160459	5252	0
160459	5253	0
160459	5254	0
160461	5249	0
160461	5250	0
160461	5251	0
160461	5252	0
160461	5253	0
160461	5254	0
160463	5249	0
160463	5250	0
160463	5251	0
160463	5252	0
160463	5253	0
160463	5254	0
161198	3845	0
161198	3846	0
161198	3847	0
161198	3848	0
161198	3849	1
161198	3850	0
161199	3845	0
161199	3846	0
161199	3847	0
161199	3848	0
161199	3849	0
161199	3850	0
