SpeciesGroupID	Fingerprint
224	9de7125e8958a038218d576ea371adaefa579662
225	fb9c6dc402c207aabedbc48e343803ae02493d20
226	89088ef2c486a81eda7c0acca7eeef06d0fc020d
227	4d6d7ea772617f592055dc6ccb7b2d966a29ac63
228	f6a77286ecedb87f35810d8b0c884ad838c3de92
229	20245dfb435eb33e7935cff197e78a1d6ec56779
230	da720e31d93752bea98a165f1205a5a4f63a0b6c
231	89088ef2c486a81eda7c0acca7eeef06d0fc020d
232	89088ef2c486a81eda7c0acca7eeef06d0fc020d
233	fde456234ab2518645d1f3ae1b9b1aa409c88730
234	89088ef2c486a81eda7c0acca7eeef06d0fc020d
235	89088ef2c486a81eda7c0acca7eeef06d0fc020d
236	a8c274dced36ebef1a8e0ce98b3a0891326193cc
237	89088ef2c486a81eda7c0acca7eeef06d0fc020d
238	30f3dff9d4f199fefa4b56517db04a86c5c0c011
239	4461052f4449fc97246bcd573773474a0f0b9dd4
240	b48474a8eb9dd48bd3e7ee0c9c19c5f0fc52161e
241	c390fae82411cfe071283680e955ada6cc521885
242	1336db22a7d4a15bb4f0e80678d0c15e889fb5bc
243	2cbf1c8f959dd020dd51059be5e4c760f9972ed9
244	7911628ce4a8075756256ab2cf3c44fd9447e9aa
245	26718ff930c61d0b8a4135b5a2da9a1b4af0323c
246	44425575a574eff9bc2b241d1f66a62695c9d745
247	cad7915618cd722aa575e18b115efc7fed812339
248	cb887b045461063d9a07b392e27d0b9be372e68b
249	44dd1b0eabe2c89729cc4c28ba01f06edb387810
250	5241c98722967a78d7370c6f2e3070513ec5660d
251	05bb814c8a87ccb0d7a210796edccdf1250f0659
252	a446f18858222b45190ed5ea58e7238c466ee57f
253	612fe7e14dafd94b8e90554faafe5918888aba87
254	89088ef2c486a81eda7c0acca7eeef06d0fc020d
255	89088ef2c486a81eda7c0acca7eeef06d0fc020d
256	cbc7896cfd42589cdd1946c20fc22d935b236c8b
257	89088ef2c486a81eda7c0acca7eeef06d0fc020d
258	0c9b97f23ea4f5f8b3d2c14d4f9a8ec7c27ef1bc
259	e610486a404fb48d75907d9a4f065e6c981429e0
260	8032a229747b09fd9f8358d8701dbc1cdb3098c2
261	89088ef2c486a81eda7c0acca7eeef06d0fc020d
262	e30fc71f95ad96e9b283861ca1afda71d080c182
263	57a0fbeaa484831a8154ebcf6513459013fa1eb0
264	1f5895cb559ffff66b1f723b6d231cc2fca3c814
265	f717c77b9094120eed59f3f949c5f4d83ca493b6
266	57842450fefbc799727981fab4cd11daf5b4d39a
267	d53e00e52a1ae2e6592a85f203ef7a66460b84a3
268	0045245e3d425d909e227b316be4a28e481b76e9
269	b843f8bbe91f28184894158abac4b0634e753960
270	89088ef2c486a81eda7c0acca7eeef06d0fc020d
271	4db526ff7a73787e7614818ffe69123d8e920de3
272	89088ef2c486a81eda7c0acca7eeef06d0fc020d
273	a6829e037722bd4c97a4b96aa600b4a887cc6553
274	89088ef2c486a81eda7c0acca7eeef06d0fc020d
275	89088ef2c486a81eda7c0acca7eeef06d0fc020d
276	89088ef2c486a81eda7c0acca7eeef06d0fc020d
277	675bd091d8212ad9ed8dca06f7c10423994ce198
278	5b956871aba5521a1bb8a24eeb3f27e492f1be43
279	a0cd67ade614b6ff27d8f21d13c2497b8e824f49
280	89088ef2c486a81eda7c0acca7eeef06d0fc020d
281	89088ef2c486a81eda7c0acca7eeef06d0fc020d
282	89088ef2c486a81eda7c0acca7eeef06d0fc020d
283	89088ef2c486a81eda7c0acca7eeef06d0fc020d
284	ef0180d73db5e41ac8ea417241476255bf81ee2f
285	ab7116520a3f58d8e8673fa473f65d0935c76e45
286	89088ef2c486a81eda7c0acca7eeef06d0fc020d
287	89088ef2c486a81eda7c0acca7eeef06d0fc020d
288	89088ef2c486a81eda7c0acca7eeef06d0fc020d
289	89088ef2c486a81eda7c0acca7eeef06d0fc020d
290	89088ef2c486a81eda7c0acca7eeef06d0fc020d
291	4ed1d94609cd730baf53abd133ebaef2b50cae08
292	8b73e5a33485330a9d209cac1f4158aec44845b0
293	b0864f7a03a25ade7cd17df45f69bba65583feef
294	a8b43fac237b484c2c23d8ec26fc15b082afbf6b
295	fd8ed99129abf4018b07220cf2ce6532be519b8d
296	23b61bb55390bab7a7fc18a342f536df687ed170
297	54c1919ca2390bc46cf2fbec03c8d7c858c8ec7d
298	dff13746cd02dd24ddb45286a537e9026dcb3504
299	44c5e40651e7e6002c2b4a8c43af84c39efbe8ae
300	ca43280d2efe16d4371929344974038b22cb29b3
301	89088ef2c486a81eda7c0acca7eeef06d0fc020d
302	89088ef2c486a81eda7c0acca7eeef06d0fc020d
303	89088ef2c486a81eda7c0acca7eeef06d0fc020d
304	b18dd942067d2602a3b43d9ae40acbede366ac12
305	c5810716058cbed28c4c306d7a859bea94737c17
306	f5e4e9f7af96a5b9f88667e8562f7838edc26c14
307	89088ef2c486a81eda7c0acca7eeef06d0fc020d
308	89088ef2c486a81eda7c0acca7eeef06d0fc020d
309	40e44d4e22db9a84f13f1f2f5d1ca68a26c97332
310	89088ef2c486a81eda7c0acca7eeef06d0fc020d
311	071aab1153d632e2696e152bb52e525bdd6dc894
312	89088ef2c486a81eda7c0acca7eeef06d0fc020d
313	683c1921402cd20dcf548a49f7751bfdf465b4f5
314	6ea1c70e89ec3736eb189ff08c4207f5bc6fe1f9
315	7849dbbad86733cc6cd0b96409bee8fa5df27000
316	be9ba9d4413a0a710b8d4c9200fdf39301906a3d
317	10edc08f8de43b9ef93dcea0e5a371a7c7edc3ca
318	89088ef2c486a81eda7c0acca7eeef06d0fc020d
319	c2dd066f2b9770dd3d02e485e5c2ffa6e604aea2
320	89088ef2c486a81eda7c0acca7eeef06d0fc020d
321	b03c9514c5ad8c7c53376230073a4032d1a02752
322	89088ef2c486a81eda7c0acca7eeef06d0fc020d
323	db75fe8b920b30014ace8a5357651659848ece9f
324	89088ef2c486a81eda7c0acca7eeef06d0fc020d
325	89088ef2c486a81eda7c0acca7eeef06d0fc020d
326	818bc1b3d6a49126c6e81cab0c4f1d70e6292d9d
327	42ed858aedc7f8b9d3a9d22b567e455b918a20dd
328	89088ef2c486a81eda7c0acca7eeef06d0fc020d
329	b8d73901daf62a7c4d725d880dbaaa4db5bb843c
330	70aa044539b50f056c4744c289afe1bf2509801d
331	bbdd52c62fbc0c992a11f4e58235ac629176ba3b
332	038ef18b2babc3def20f463454637ca492e8325a
333	730fdddd9aa105f1f754ab0de7763d02ad84db58
334	34e097cc22758c87e839ac1ce3ce1f0fe5b34ff5
335	3b73e955a1eb457c7d3907799b3613877c063959
336	629d998f3b73322af22b9b0c1dfea5947fbd1b2e
337	89088ef2c486a81eda7c0acca7eeef06d0fc020d
338	f7d5eb57ac5c7cd2c5973281d3e4ddd46300c9a2
339	1c26b6128cf7d31fd105880adf2855b318693ace
340	89088ef2c486a81eda7c0acca7eeef06d0fc020d
341	89088ef2c486a81eda7c0acca7eeef06d0fc020d
342	d709e43d5554f93f88939e84be7114777f7ba73e
343	23f0eb2130fa561b9f21ae51d5228258a3e29f65
344	dd3bd777e9b4e4c1925ac500085a369571de6432
345	abef0b4629ef9543b409f75233c30ccaa90e9ff8
346	89088ef2c486a81eda7c0acca7eeef06d0fc020d
347	89088ef2c486a81eda7c0acca7eeef06d0fc020d
348	e850ddfbbf132e5c59250821fb55c9891556f619
349	e9ee0fa541e68b6837953fbfb427132c12d36f72
350	89088ef2c486a81eda7c0acca7eeef06d0fc020d
351	3ff0ca437931047fc749ea72912ad17dcc377b51
352	4806855355a71076fd16e858164a9a0dca27727f
353	89088ef2c486a81eda7c0acca7eeef06d0fc020d
354	89088ef2c486a81eda7c0acca7eeef06d0fc020d
355	89088ef2c486a81eda7c0acca7eeef06d0fc020d
