ObservationID	SubLocationName	Count
146051	1_1	0
146051	1_2	0
146051	2_1	0
146051	2_2	0
146051	3_1	0
146051	3_2	0
146052	1_1	0
146052	1_2	0
146052	2_1	0
146052	2_2	0
146052	3_1	0
146052	3_2	0
146053	1_1	0
146053	1_2	1
146053	2_1	0
146053	2_2	0
146053	3_1	0
146053	3_2	0
146832	1_1	0
146832	1_2	0
146832	2_1	0
146832	2_2	0
146832	3_1	0
146832	3_2	0
146833	1_1	0
146833	1_2	1
146833	2_1	0
146833	2_2	0
146833	3_1	0
146833	3_2	0
146836	1_1	0
146836	1_2	0
146836	2_1	0
146836	2_2	0
146836	3_1	0
146836	3_2	0
147204	1_1	0
147204	1_2	1
147204	2_1	0
147204	2_2	0
147204	3_1	0
147204	3_2	0
147874	1_1	0
147874	1_2	0
147874	2_1	0
147874	2_2	0
147874	3_1	0
147874	3_2	0
147877	1_1	0
147877	1_2	0
147877	2_1	0
147877	2_2	0
147877	3_1	0
147877	3_2	0
148590	1_1	0
148590	1_2	0
148590	2_1	0
148590	2_2	0
148590	3_1	0
148590	3_2	0
148591	1_1	0
148591	1_2	0
148591	2_1	0
148591	2_2	0
148591	3_1	0
148591	3_2	0
148592	1_1	0
148592	1_2	0
148592	2_1	0
148592	2_2	0
148592	3_1	0
148592	3_2	0
152425	1_1	0
152425	2_1	0
152425	2_2	0
152425	3_1	0
152425	3_2	0
152426	1_1	0
152426	2_1	0
152426	2_2	0
152426	3_1	4
152926	1_1	0
152926	1_2	0
152926	2_1	0
152926	2_2	0
152926	3_1	0
152926	3_2	0
152928	1_1	0
152928	1_2	0
152928	2_1	0
152928	2_2	0
152928	3_1	0
152928	3_2	0
152929	1_1	0
152929	1_2	1
152929	2_1	0
152929	2_2	0
152929	3_1	0
152929	3_2	0
152932	1_1	0
152932	1_2	0
152932	2_1	0
152932	2_2	0
152932	3_1	0
152932	3_2	0
152941	1_1	0
152941	2_1	0
152941	2_2	0
152941	3_1	0
152941	3_2	0
152942	1_1	0
152942	2_1	0
152942	2_2	0
152942	3_1	4
152995	1_1	0
152995	1_2	0
152995	2_1	0
152995	2_2	0
152995	3_1	0
152995	3_2	0
152998	1_1	0
152998	1_2	0
152998	2_1	0
152998	2_2	0
152998	3_1	0
152998	3_2	0
152999	1_1	0
152999	1_2	0
152999	2_1	0
152999	2_2	0
152999	3_1	0
152999	3_2	0
157006	1_1	1
157006	1_2	0
157006	2_1	0
157006	2_2	0
157006	3_1	0
157006	3_2	0
157008	1_1	0
157008	1_2	0
157008	2_1	0
157008	2_2	0
157008	3_1	0
157008	3_2	0
157072	1_1	0
157072	1_2	0
157072	2_1	0
157072	2_2	0
157072	3_1	0
157072	3_2	0
157073	1_1	0
157073	1_2	0
157073	2_1	0
157073	2_2	0
157073	3_1	0
157073	3_2	0
157074	1_1	0
157074	1_2	0
157074	2_1	0
157074	2_2	0
157074	3_1	0
157074	3_2	10
157105	1_1	0
157105	1_2	0
157105	2_1	0
157105	2_2	0
157105	3_1	0
157105	3_2	0
157106	1_1	0
157106	1_2	0
157106	2_1	0
157106	2_2	0
157106	3_1	0
157106	3_2	0
157107	1_1	0
157107	1_2	0
157107	2_1	0
157107	2_2	0
157107	3_1	0
157107	3_2	10
157389	1_1	0
157389	1_2	0
157389	2_1	0
157389	2_2	0
157389	3_1	0
157389	3_2	0
157467	1_1	0
157467	1_2	0
157467	2_1	0
157467	2_2	0
157467	3_1	0
157467	3_2	0
157559	1_1	0
157559	1_2	0
157559	2_1	0
157559	2_2	0
157559	3_1	0
157559	3_2	0
157560	1_1	0
157560	1_2	0
157560	2_1	0
157560	2_2	0
157560	3_1	0
157560	3_2	0
158634	1_1	2
158634	1_2	0
158634	2_1	0
158634	2_2	0
158634	3_1	0
158634	3_2	0
158635	1_1	0
158635	1_2	0
158635	2_1	0
158635	2_2	0
158635	3_1	0
158635	3_2	0
158636	1_1	0
158636	1_2	0
158636	2_1	0
158636	2_2	0
158636	3_1	0
158636	3_2	0
159681	1_1	0
159681	1_2	0
159681	2_1	0
159681	2_2	0
159681	3_1	0
159681	3_2	0
159683	1_1	0
159683	1_2	0
159683	2_1	5
159683	2_2	0
159683	3_1	0
159683	3_2	0
160366	1_1	0
160366	1_2	0
160366	2_1	0
160366	2_2	0
160366	3_1	0
160366	3_2	0
160598	1_1	0
160598	1_2	0
160598	2_1	0
160598	2_2	0
160598	3_1	0
160598	3_2	0
160600	1_1	0
160600	1_2	0
160600	2_1	0
160600	2_2	0
160600	3_1	0
160600	3_2	0
160602	1_1	0
160602	1_2	0
160602	2_1	0
160602	2_2	0
160602	3_1	0
160602	3_2	2
160819	1_1	2
160819	1_2	0
160819	2_1	0
160819	2_2	0
160819	3_1	0
160819	3_2	0
160820	1_1	0
160820	1_2	0
160820	2_1	0
160820	2_2	0
160820	3_1	0
160820	3_2	0
160821	1_1	0
160821	1_2	0
160821	2_1	0
160821	2_2	0
160821	3_1	0
160821	3_2	0
160944	1_1	0
160944	1_2	0
160944	2_1	0
160944	2_2	0
160944	3_1	0
160944	3_2	0
160949	1_1	0
160949	1_2	1
160949	2_1	0
160949	2_2	1
160949	3_1	0
160949	3_2	0
160951	1_1	0
160951	1_2	0
160951	2_1	0
160951	2_2	0
160951	3_1	0
160951	3_2	1
160988	1_1	0
160988	1_2	0
160988	2_1	0
160988	2_2	0
160988	3_1	0
160988	3_2	0
161004	1_1	0
161004	1_2	0
161004	2_1	0
161004	2_2	0
161004	3_1	0
161004	3_2	1
161053	1_1	0
161053	1_2	0
161053	2_1	0
161053	2_2	0
161053	3_1	0
161053	3_2	0
161174	1_1	0
161174	1_2	0
161174	2_1	0
161174	2_2	0
161174	3_1	0
161174	3_2	0
161270	1_1	1
161270	1_2	0
161270	2_1	0
161270	2_2	0
161270	3_1	0
161270	3_2	0
161271	1_1	0
161271	1_2	0
161271	2_1	0
161271	2_2	0
161271	3_1	0
161271	3_2	0
161272	1_1	0
161272	1_2	0
161272	2_1	0
161272	2_2	0
161272	3_1	0
161272	3_2	0
