Cycle	Stratum	Weight
0	Bos	0.0056814513358779
0	Heide en duin	0.0229895887318079
0	Landbouw	0.959487361655308
0	Moeras en water	0.00419784316858609
0	Suburbaan	0.00469488347196242
0	Urbaan	0.00294887163645747
1	Bos	0.00515713741451594
1	Heide en duin	0.0238587877872227
1	Landbouw	0.958682467197923
1	Moeras en water	0.00404518208649344
1	Suburbaan	0.00524249693034241
1	Urbaan	0.00301392858350255
2	Bos	0.00765035244891274
2	Heide en duin	0.024765285636538
2	Landbouw	0.965771631121336
2	Moeras en water	0.00181273079321335
