Year	Stratum	Weight
2007	Bos	0.00849499388362726
2007	Heide en duin	0.0141781788969575
2007	Landbouw	0.828428812355244
2007	Moeras en water	0.0127900882581114
2007	Suburbaan	0.0494714163613346
2007	Urbaan	0.0866365102447253
2008	Bos	0.00587590697544948
2008	Heide en duin	0.00348816987555629
2008	Landbouw	0.878578857981434
2008	Moeras en water	0.00783615840332587
2008	Suburbaan	0.036406677545379
2008	Urbaan	0.0678142292188552
2009	Bos	0.0105271418176009
2009	Heide en duin	0.00904798855768445
2009	Landbouw	0.846116919928857
2009	Moeras en water	0.0295058711759453
2009	Suburbaan	0.0456946155802657
2009	Urbaan	0.0591074629396472
2010	Bos	0.00625027689726603
2010	Heide en duin	0.0155353791708349
2010	Landbouw	0.83128941009543
2010	Moeras en water	0.0155566702341115
2010	Suburbaan	0.0590739336841915
2010	Urbaan	0.072294329918166
2011	Bos	0.00548647948637611
2011	Heide en duin	0.00409223919710962
2011	Landbouw	0.898688187874073
2011	Moeras en water	0.0107995357705967
2011	Suburbaan	0.0362161700085911
2011	Urbaan	0.0447173876632536
2012	Bos	0.0126875050494953
2012	Landbouw	0.884771337849072
2012	Moeras en water	0.0201809844627988
2012	Suburbaan	0.0409965198126929
2012	Urbaan	0.0413636528259409
2013	Bos	0.00880256247824779
2013	Heide en duin	0.00973449521141081
2013	Landbouw	0.803324397556044
2013	Moeras en water	0.0196581363934286
2013	Suburbaan	0.0589939760048314
2013	Urbaan	0.0994864323560377
2014	Bos	0.00979600812526726
2014	Heide en duin	0.0134441766684702
2014	Landbouw	0.907994870630217
2014	Moeras en water	0.0043385337709966
2014	Suburbaan	0.0452643134064074
2014	Urbaan	0.0191620973986419
