Cycle	Stratum	Weight
0	Bos	0.00411788989656914
0	Heide en duin	0.00863994370684787
0	Landbouw	0.890317129411971
0	Moeras en water	0.00811353998564469
0	Suburbaan	0.0204169801747772
0	Urbaan	0.0683945168241904
1	Bos	0.00447879258442332
1	Heide en duin	0.00787622052743383
1	Landbouw	0.890182042028591
1	Moeras en water	0.00780688547644148
1	Suburbaan	0.0227646216187585
1	Urbaan	0.0668914377643515
2	Bos	0.00266916295416284
2	Heide en duin	0.00864046243774074
2	Landbouw	0.885127745351551
2	Moeras en water	0.00927594957673398
2	Suburbaan	0.022590421770191
2	Urbaan	0.07169625790962
