Cycle	Stratum	Weight
0	Bos	0.0116405743496622
0	Heide en duin	0.0157009187195308
0	Landbouw	0.881451185690977
0	Moeras en water	0.0114677987772989
0	Suburbaan	0.0206635133347208
0	Urbaan	0.0590760091278106
1	Bos	0.012713484220366
1	Heide en duin	0.0160514743714142
1	Landbouw	0.883577845355161
1	Moeras en water	0.0110802982549507
1	Suburbaan	0.0215398571733557
1	Urbaan	0.0550370406247526
2	Bos	0.0147020895047595
2	Heide en duin	0.0185082985050173
2	Landbouw	0.874124093796039
2	Moeras en water	0.0131603469488069
2	Suburbaan	0.0207384867165708
2	Urbaan	0.058766684528807
