ObservationID	SubLocationName	Count
146063	1_1	0
146063	1_2	0
146063	2_1	0
146063	2_2	0
146063	3_1	0
146063	3_2	0
146083	1_1	0
146083	1_2	0
146083	2_1	0
146083	2_2	0
146083	3_1	6
146083	3_2	0
146089	1_1	0
146089	1_2	0
146089	2_1	0
146089	2_2	48
146089	3_1	0
146089	3_2	0
146092	1_1	0
146092	1_2	4
146092	2_1	5
146092	2_2	42
146092	3_1	0
146092	3_2	0
146095	1_1	0
146095	1_2	1
146095	2_1	0
146095	2_2	0
146095	3_1	0
146095	3_2	3
146196	1_1	0
146196	1_2	0
146196	2_1	0
146196	2_2	0
146196	3_1	0
146196	3_2	0
146198	1_1	0
146198	1_2	0
146198	2_1	0
146198	2_2	0
146198	3_1	0
146198	3_2	0
146199	1_1	0
146199	1_2	0
146199	2_1	0
146199	2_2	0
146199	3_1	0
146199	3_2	0
146203	1_1	0
146203	1_2	0
146203	2_1	0
146203	2_2	0
146203	3_1	0
146203	3_2	0
146218	1_1	0
146218	1_2	0
146218	2_1	0
146218	2_2	0
146218	3_1	0
146218	3_2	0
146257	1_1	0
146257	1_2	0
146257	2_1	0
146257	2_2	0
146257	3_1	0
146257	3_2	0
146259	1_1	0
146259	1_2	0
146259	2_1	0
146259	2_2	0
146259	3_1	0
146259	3_2	0
146260	1_1	0
146260	1_2	1
146260	2_1	0
146260	2_2	0
146260	3_1	0
146260	3_2	0
146266	1_1	0
146266	1_2	0
146266	2_1	0
146266	2_2	0
146266	3_1	0
146266	3_2	0
146267	1_1	0
146267	1_2	0
146267	2_1	0
146267	2_2	0
146267	3_1	0
146267	3_2	0
146268	1_1	0
146268	1_2	0
146268	2_1	0
146268	2_2	0
146268	3_1	0
146268	3_2	0
146299	1_1	0
146299	1_2	0
146299	2_1	0
146299	2_2	1
146299	3_1	0
146321	1_1	0
146321	1_2	0
146321	2_1	0
146321	2_2	0
146321	3_1	1
146321	3_2	0
146358	1_1	0
146358	1_2	0
146358	2_1	0
146358	2_2	0
146358	3_1	0
146358	3_2	0
146359	1_1	0
146359	1_2	0
146359	2_1	0
146359	2_2	0
146359	3_1	0
146359	3_2	0
146375	1_1	0
146375	1_2	0
