Cycle	Stratum	Weight
0	Bos	0.0275525887138264
0	Heide en duin	0.0224707701834319
0	Landbouw	0.867608254955995
0	Moeras en water	0.0170436800468571
0	Suburbaan	0.0254156205269754
0	Urbaan	0.0399090855729144
1	Bos	0.0299080840980009
1	Heide en duin	0.0226563625081531
1	Landbouw	0.868345520382104
1	Moeras en water	0.0162912899355481
1	Suburbaan	0.0258989493509687
1	Urbaan	0.0368997937252247
2	Bos	0.0302103318236567
2	Heide en duin	0.0225681155048901
2	Landbouw	0.866952955539662
2	Moeras en water	0.0209241395905915
2	Suburbaan	0.0225604149877813
2	Urbaan	0.0367840425534179
