Cycle	Stratum	Weight
0	Bos	0.0480433040266601
0	Heide en duin	0.0284216100316612
0	Landbouw	0.831387462300672
0	Moeras en water	0.0172817579065267
0	Suburbaan	0.0236811317880741
0	Urbaan	0.0511847339464061
1	Bos	0.0531807801735393
1	Heide en duin	0.0293803913834858
1	Landbouw	0.82683798233368
1	Moeras en water	0.0170888065977016
1	Suburbaan	0.0265004969492214
1	Urbaan	0.0470115425623714
2	Bos	0.0489459419101729
2	Heide en duin	0.0281680032158135
2	Landbouw	0.817702396169547
2	Moeras en water	0.0185561785177125
2	Suburbaan	0.0255862311455199
2	Urbaan	0.0610412490412343
