Year	Stratum	Weight
2007	Heide en duin	0.016997189135465
2007	Landbouw	0.931071700340099
2007	Urbaan	0.0519311105244359
2008	Bos	0.0183604543067887
2008	Landbouw	0.885579522873451
2008	Moeras en water	0.048971309078295
2008	Urbaan	0.0470887137414652
2009	Landbouw	0.861569965870307
2009	Urbaan	0.138430034129693
2010	Heide en duin	0.016593539781353
2010	Landbouw	0.918528610120731
2010	Moeras en water	0.016616281041903
2010	Urbaan	0.0482615690560129
2011	Bos	0.0129727039883766
2011	Landbouw	0.910686706013845
2011	Moeras en water	0.0340471349886512
2011	Urbaan	0.0422934550091274
2012	Landbouw	0.811904327969382
2012	Moeras en water	0.0425935654019748
2012	Urbaan	0.145502106628644
2013	Heide en duin	0.0158638236418031
2013	Landbouw	0.952100287275185
2013	Moeras en water	0.0320358890830115
2014	Bos	0.0293032753333692
2014	Landbouw	0.944740590696771
2014	Moeras en water	0.0259561339698594
