Year	Stratum	Weight
2007	Bos	0.00807656624911453
2007	Landbouw	0.959916624188807
2007	Moeras en water	0.00729606141431738
2007	Urbaan	0.0247107481477611
2008	Bos	0.0226645094070361
2008	Landbouw	0.874541559439415
2008	Suburbaan	0.0156030661243493
2008	Urbaan	0.0871908650291998
2009	Bos	0.0216467201583751
2009	Landbouw	0.907748247140831
2009	Moeras en water	0.0303361229211744
2009	Suburbaan	0.0402689097796194
2010	Bos	0.00936507806287525
2010	Landbouw	0.944907018932631
2010	Moeras en water	0.0186474210388457
2010	Urbaan	0.0270804819656483
2011	Bos	0.0168447799627348
2011	Landbouw	0.886880475624187
2011	Suburbaan	0.0138990179495472
2011	Urbaan	0.0823757264635306
2012	Bos	0.0215147373586479
2012	Landbouw	0.978485262641352
2013	Bos	0.00956948880408195
2013	Landbouw	0.952706526386848
2013	Moeras en water	0.0106854291912664
2013	Urbaan	0.0270385556178031
2014	Landbouw	0.905153839383795
2014	Suburbaan	0.0216212868463171
2014	Urbaan	0.073224873769888
