Cycle	Stratum	Weight
0	Bos	0.0173631505103257
0	Heide en duin	0.0181312912435746
0	Landbouw	0.899026806565871
0	Moeras en water	0.0217266644781622
0	Suburbaan	0.0175879798349042
0	Urbaan	0.0261641073671623
1	Bos	0.019598029105617
1	Heide en duin	0.0210528458314118
1	Landbouw	0.899670963378524
1	Moeras en water	0.020910989798693
1	Suburbaan	0.0185551860423228
1	Urbaan	0.020211985843431
2	Bos	0.0230400167228051
2	Heide en duin	0.0237803519576681
2	Landbouw	0.89087167447131
2	Moeras en water	0.0227865227214605
2	Suburbaan	0.0164577030996815
2	Urbaan	0.0230637310270744
