Cycle	Stratum	Weight
0	Bos	0.0130036176630564
0	Heide en duin	0.0114913340872464
0	Landbouw	0.860464072298389
0	Moeras en water	0.0154058641862607
0	Suburbaan	0.0326072664504703
0	Urbaan	0.0670278453145777
1	Bos	0.0141289441947899
1	Heide en duin	0.0100836254904054
1	Landbouw	0.858693132735967
1	Moeras en water	0.0152862541190754
1	Suburbaan	0.0363197306657668
1	Urbaan	0.0654883127939953
2	Bos	0.0144317856664531
2	Heide en duin	0.0100763786112575
2	Landbouw	0.857342072947997
2	Moeras en water	0.0193105325425109
2	Suburbaan	0.0304301417113534
2	Urbaan	0.068409088520428
