Cycle	Stratum	Weight
0	Bos	0.029294604018119
0	Heide en duin	0.0282234598932749
0	Landbouw	0.863118056764707
0	Moeras en water	0.046381818187392
0	Suburbaan	0.00691647981633696
0	Urbaan	0.0260655813201703
1	Bos	0.0328743589277355
1	Heide en duin	0.0350204256013412
1	Landbouw	0.864786233847036
1	Moeras en water	0.0483490490280716
1	Suburbaan	0.00696218463498307
1	Urbaan	0.0120077479608331
2	Bos	0.0287684807561259
2	Heide en duin	0.031042562984836
2	Landbouw	0.813067093828529
2	Moeras en water	0.0749827702942069
2	Suburbaan	0.010741836074736
2	Urbaan	0.0413972560615661
