Cycle	Stratum	Weight
0	Bos	0.0519810012631915
0	Heide en duin	0.0251860346382813
0	Landbouw	0.828154336048553
0	Moeras en water	0.0162204758660871
0	Suburbaan	0.0250221251946348
0	Urbaan	0.0534360269892523
1	Bos	0.0562800823264631
1	Heide en duin	0.0262549307575278
1	Landbouw	0.825570560379576
1	Moeras en water	0.0144400388780635
1	Suburbaan	0.0267343994035471
1	Urbaan	0.0507199882548224
2	Bos	0.0502431015231137
2	Heide en duin	0.0256287687505608
2	Landbouw	0.826177163929151
2	Moeras en water	0.0181821361764289
2	Suburbaan	0.0245588394791806
2	Urbaan	0.055209990141565
