Cycle	Stratum	Weight
0	Bos	0.00825793958757398
0	Heide en duin	0.0160887832382004
0	Landbouw	0.929737632067676
0	Moeras en water	0.0193215058225908
0	Suburbaan	0.0151643819276073
0	Urbaan	0.0114297573563515
1	Bos	0.00872902635463676
1	Heide en duin	0.0165313151442466
1	Landbouw	0.927000596516792
1	Moeras en water	0.0199701797907316
1	Suburbaan	0.0164324199830582
1	Urbaan	0.0113364622105344
2	Bos	0.00949442205349942
2	Heide en duin	0.0204898685543283
2	Landbouw	0.930229429509184
2	Moeras en water	0.0164976402229653
2	Suburbaan	0.0141804534188107
2	Urbaan	0.00910818624121243
