Year	Stratum	Weight
2007	Bos	0.244934698847221
2007	Heide en duin	0.630715364832718
2007	Moeras en water	0.0632184714630456
2007	Suburbaan	0.0611314648570161
2008	Bos	0.305748090366412
2008	Heide en duin	0.399309046606456
2008	Landbouw	0.294942863027133
2009	Bos	0.279448694738072
2009	Heide en duin	0.720551305261928
2010	Bos	0.277939992085413
2010	Heide en duin	0.587208814832394
2010	Moeras en water	0.0691780679930458
2010	Suburbaan	0.0656731250891474
2011	Bos	0.281262791164518
2011	Heide en duin	0.419574928348869
2011	Landbouw	0.299162280486613
2012	Bos	0.405215571994321
2012	Heide en duin	0.594784428005679
2013	Bos	0.345147379322071
2013	Heide en duin	0.599795971992519
2013	Moeras en water	0.0550566486854104
2014	Bos	0.295865254725626
2014	Heide en duin	0.406049556485514
2014	Landbouw	0.298085188788861
